"Sample1","Sample2","Pairwise_SNP_diff","S1","S2","Compare"
"TVY10R1","TVY10R10",1265,"R","R","R-R"
"TVY10R1","TVY10R11",718,"R","R","R-R"
"TVY10R10","TVY10R11",1327,"R","R","R-R"
"TVY10R1","TVY10R12",1076,"R","R","R-R"
"TVY10R10","TVY10R12",1677,"R","R","R-R"
"TVY10R11","TVY10R12",996,"R","R","R-R"
"TVY10R1","TVY10R14",1489,"R","R","R-R"
"TVY10R10","TVY10R14",826,"R","R","R-R"
"TVY10R11","TVY10R14",1537,"R","R","R-R"
"TVY10R12","TVY10R14",1785,"R","R","R-R"
"TVY10R1","TVY10R2",742,"R","R","R-R"
"TVY10R10","TVY10R2",1367,"R","R","R-R"
"TVY10R11","TVY10R2",724,"R","R","R-R"
"TVY10R12","TVY10R2",1106,"R","R","R-R"
"TVY10R14","TVY10R2",1595,"R","R","R-R"
"TVY10R1","TVY10R3",796,"R","R","R-R"
"TVY10R10","TVY10R3",1387,"R","R","R-R"
"TVY10R11","TVY10R3",780,"R","R","R-R"
"TVY10R12","TVY10R3",1108,"R","R","R-R"
"TVY10R14","TVY10R3",1547,"R","R","R-R"
"TVY10R2","TVY10R3",758,"R","R","R-R"
"TVY10R1","TVY10R4",669,"R","R","R-R"
"TVY10R10","TVY10R4",1302,"R","R","R-R"
"TVY10R11","TVY10R4",651,"R","R","R-R"
"TVY10R12","TVY10R4",1069,"R","R","R-R"
"TVY10R14","TVY10R4",1464,"R","R","R-R"
"TVY10R2","TVY10R4",701,"R","R","R-R"
"TVY10R3","TVY10R4",667,"R","R","R-R"
"TVY10R1","TVY10R6",1331,"R","R","R-R"
"TVY10R10","TVY10R6",594,"R","R","R-R"
"TVY10R11","TVY10R6",1303,"R","R","R-R"
"TVY10R12","TVY10R6",1659,"R","R","R-R"
"TVY10R14","TVY10R6",786,"R","R","R-R"
"TVY10R2","TVY10R6",1359,"R","R","R-R"
"TVY10R3","TVY10R6",1399,"R","R","R-R"
"TVY10R4","TVY10R6",1280,"R","R","R-R"
"TVY10R1","TVY10R7",757,"R","R","R-R"
"TVY10R10","TVY10R7",1344,"R","R","R-R"
"TVY10R11","TVY10R7",717,"R","R","R-R"
"TVY10R12","TVY10R7",1123,"R","R","R-R"
"TVY10R14","TVY10R7",1512,"R","R","R-R"
"TVY10R2","TVY10R7",727,"R","R","R-R"
"TVY10R3","TVY10R7",833,"R","R","R-R"
"TVY10R4","TVY10R7",700,"R","R","R-R"
"TVY10R6","TVY10R7",1322,"R","R","R-R"
"TVY10R1","TVY10R8",717,"R","R","R-R"
"TVY10R10","TVY10R8",1306,"R","R","R-R"
"TVY10R11","TVY10R8",737,"R","R","R-R"
"TVY10R12","TVY10R8",1097,"R","R","R-R"
"TVY10R14","TVY10R8",1524,"R","R","R-R"
"TVY10R2","TVY10R8",729,"R","R","R-R"
"TVY10R3","TVY10R8",737,"R","R","R-R"
"TVY10R4","TVY10R8",646,"R","R","R-R"
"TVY10R6","TVY10R8",1340,"R","R","R-R"
"TVY10R7","TVY10R8",782,"R","R","R-R"
