"Sample1","Sample2","Pairwise_SNP_diff","S1","S2","Compare"
"YST7R10","YST7R11",711,"R","R","R-R"
"YST7R10","YST7R12",798,"R","R","R-R"
"YST7R11","YST7R12",803,"R","R","R-R"
"YST7R10","YST7R14",695,"R","R","R-R"
"YST7R11","YST7R14",760,"R","R","R-R"
"YST7R12","YST7R14",817,"R","R","R-R"
"YST7R10","YST7R15",910,"R","R","R-R"
"YST7R11","YST7R15",943,"R","R","R-R"
"YST7R12","YST7R15",960,"R","R","R-R"
"YST7R14","YST7R15",917,"R","R","R-R"
"YST7R10","YST7R16",766,"R","R","R-R"
"YST7R11","YST7R16",829,"R","R","R-R"
"YST7R12","YST7R16",914,"R","R","R-R"
"YST7R14","YST7R16",789,"R","R","R-R"
"YST7R15","YST7R16",1014,"R","R","R-R"
"YST7R10","YST7R2",706,"R","R","R-R"
"YST7R11","YST7R2",659,"R","R","R-R"
"YST7R12","YST7R2",758,"R","R","R-R"
"YST7R14","YST7R2",713,"R","R","R-R"
"YST7R15","YST7R2",886,"R","R","R-R"
"YST7R16","YST7R2",828,"R","R","R-R"
"YST7R10","YST7R20",636,"R","R","R-R"
"YST7R11","YST7R20",629,"R","R","R-R"
"YST7R12","YST7R20",712,"R","R","R-R"
"YST7R14","YST7R20",637,"R","R","R-R"
"YST7R15","YST7R20",848,"R","R","R-R"
"YST7R16","YST7R20",806,"R","R","R-R"
"YST7R2","YST7R20",510,"R","R","R-R"
"YST7R10","YST7R3",601,"R","R","R-R"
"YST7R11","YST7R3",622,"R","R","R-R"
"YST7R12","YST7R3",751,"R","R","R-R"
"YST7R14","YST7R3",644,"R","R","R-R"
"YST7R15","YST7R3",877,"R","R","R-R"
"YST7R16","YST7R3",869,"R","R","R-R"
"YST7R2","YST7R3",577,"R","R","R-R"
"YST7R20","YST7R3",499,"R","R","R-R"
"YST7R10","YST7R6",729,"R","R","R-R"
"YST7R11","YST7R6",672,"R","R","R-R"
"YST7R12","YST7R6",717,"R","R","R-R"
"YST7R14","YST7R6",692,"R","R","R-R"
"YST7R15","YST7R6",919,"R","R","R-R"
"YST7R16","YST7R6",821,"R","R","R-R"
"YST7R2","YST7R6",571,"R","R","R-R"
"YST7R20","YST7R6",573,"R","R","R-R"
"YST7R3","YST7R6",534,"R","R","R-R"
"YST7R10","YST7R7",760,"R","R","R-R"
"YST7R11","YST7R7",801,"R","R","R-R"
"YST7R12","YST7R7",822,"R","R","R-R"
"YST7R14","YST7R7",745,"R","R","R-R"
"YST7R15","YST7R7",874,"R","R","R-R"
"YST7R16","YST7R7",812,"R","R","R-R"
"YST7R2","YST7R7",740,"R","R","R-R"
"YST7R20","YST7R7",726,"R","R","R-R"
"YST7R3","YST7R7",727,"R","R","R-R"
"YST7R6","YST7R7",761,"R","R","R-R"
"YST7R10","YST7V1",616,"R","V","R-V"
"YST7R11","YST7V1",703,"R","V","R-V"
"YST7R12","YST7V1",764,"R","V","R-V"
"YST7R14","YST7V1",683,"R","V","R-V"
"YST7R15","YST7V1",854,"R","V","R-V"
"YST7R16","YST7V1",818,"R","V","R-V"
"YST7R2","YST7V1",638,"R","V","R-V"
"YST7R20","YST7V1",606,"R","V","R-V"
"YST7R3","YST7V1",571,"R","V","R-V"
"YST7R6","YST7V1",677,"R","V","R-V"
"YST7R7","YST7V1",680,"R","V","R-V"
"YST7R10","YST7V10",755,"R","V","R-V"
"YST7R11","YST7V10",686,"R","V","R-V"
"YST7R12","YST7V10",811,"R","V","R-V"
"YST7R14","YST7V10",738,"R","V","R-V"
"YST7R15","YST7V10",915,"R","V","R-V"
"YST7R16","YST7V10",779,"R","V","R-V"
"YST7R2","YST7V10",815,"R","V","R-V"
"YST7R20","YST7V10",685,"R","V","R-V"
"YST7R3","YST7V10",676,"R","V","R-V"
"YST7R6","YST7V10",738,"R","V","R-V"
"YST7R7","YST7V10",719,"R","V","R-V"
"YST7V1","YST7V10",707,"V","V","V-V"
"YST7R10","YST7V11",933,"R","V","R-V"
"YST7R11","YST7V11",972,"R","V","R-V"
"YST7R12","YST7V11",1005,"R","V","R-V"
"YST7R14","YST7V11",938,"R","V","R-V"
"YST7R15","YST7V11",1109,"R","V","R-V"
"YST7R16","YST7V11",995,"R","V","R-V"
"YST7R2","YST7V11",939,"R","V","R-V"
"YST7R20","YST7V11",865,"R","V","R-V"
"YST7R3","YST7V11",890,"R","V","R-V"
"YST7R6","YST7V11",916,"R","V","R-V"
"YST7R7","YST7V11",881,"R","V","R-V"
"YST7V1","YST7V11",879,"V","V","V-V"
"YST7V10","YST7V11",882,"V","V","V-V"
"YST7R10","YST7V12",665,"R","V","R-V"
"YST7R11","YST7V12",698,"R","V","R-V"
"YST7R12","YST7V12",745,"R","V","R-V"
"YST7R14","YST7V12",678,"R","V","R-V"
"YST7R15","YST7V12",843,"R","V","R-V"
"YST7R16","YST7V12",813,"R","V","R-V"
"YST7R2","YST7V12",559,"R","V","R-V"
"YST7R20","YST7V12",499,"R","V","R-V"
"YST7R3","YST7V12",480,"R","V","R-V"
"YST7R6","YST7V12",546,"R","V","R-V"
"YST7R7","YST7V12",691,"R","V","R-V"
