pop	num_samples	MeanDiversity	StdError	StdDev
TVY10	4	0.00250994109241556	7.84831180772724e-06	5.54959450011038e-05
TVY10	6	0.00241822057487295	5.49810487419723e-06	3.88774724021967e-05
TVY10	10	0.00233344235329357	2.4397142018056e-06	1.72513845625387e-05
TVY10	3	0.00264236874992154	1.09943403976974e-05	7.774172649885e-05
TVY10	12	0.00232	NA	NA
TVY10	23	0.00231	NA	NA
TVY10	2	0.0029111754462489	1.46475429818667e-05	0.000103573769701993
TVY4	4	0.00267627530082323	2.30385739124616e-07	1.62907318423691e-06
TVY4	6	0.00255651981590482	1.54200907128132e-07	1.09036507095419e-06
TVY4	10	0.0024684027274867	6.62633889288179e-08	4.68552916559688e-07
TVY4	3	0.00280748734223306	2.95144364319669e-07	2.08698581439431e-06
TVY4	12	0.00245	NA	NA
TVY4	23	0.0024	NA	NA
TVY4	2	0.00311509076193549	4.40614157872956e-07	3.11561258918767e-06
YST7	4	0.0028021877232611	2.65698059466271e-07	1.87876899596707e-06
YST7	6	0.00267632560790395	2.16557118809475e-07	1.53129007224401e-06
YST7	10	0.00258408825874406	8.21567121378331e-08	5.80935682726529e-07
YST7	3	0.00293904524662221	4.18618711532139e-07	2.96008129655951e-06
YST7	12	0.00256	NA	NA
YST7	23	0.00251	NA	NA
YST7	2	0.00326111334175501	6.16063703814433e-07	4.35622822610087e-06
YST6	24	5.57e-05	NA	NA
YST6	4	5.65158050456853e-05	2.63043286788767e-07	1.85999691833935e-06
YST6	6	5.71371150870456e-05	1.87549751363872e-07	1.32617700999245e-06
YST6	10	5.71042858693167e-05	8.92331385305715e-08	6.30973573615257e-07
YST6	3	5.72827065487504e-05	4.15262966465399e-07	2.93635259563325e-06
YST6	12	5.72e-05	NA	NA
YST6	2	5.68581528334716e-05	5.42614248306933e-07	3.83686214546274e-06
