"","name","line","PlaceIsol","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","...12","...13","type","replicate"
"1","211126_YST6_R1_A_BA_48h","YST6","R1","BA",6,10,13,0.19,0.37,0.35,25.7,NA,NA,"R",1
"2","211126_YST6_R1_B_BA_48h","YST6","R1","BA",5,8,13,0.19,0.35,0.43,15,NA,NA,"R",1
"3","220113_YST6_R1_A_BA_48hr","YST6","R1","BA",3,8,9,0.21,0.48,0.38,29.5,NA,NA,"R",1
"4","220113_YST6_R1_B_BA_48hr","YST6","R1","BA",5,7,10,0.21,0.31,0.38,35.4,NA,NA,"R",1
"5","211126_YST6_R2_A_BA_48h","YST6","R2","BA",6,8,15,0.23,0.24,0.47,22,NA,NA,"R",2
"6","211126_YST6_R2_B_BA_48h","YST6","R2","BA",5,8,12,0.18,0.34,0.39,25.6,NA,NA,"R",2
"7","220113_YST6_R2_A_BA_48hr","YST6","R2","BA",6,9,11,0.23,0.33,0.3,35.8,NA,NA,"R",2
"8","220113_YST6_R2_B_BA_48hr","YST6","R2","BA",6,8,9,0.37,0.28,0.24,43.2,NA,NA,"R",2
"9","211126_YST6_R3_A_BA_48h","YST6","R3","BA",9,10,24,0.13,0.15,0.55,24.4,NA,NA,"R",3
"10","211126_YST6_R3_B_BA_48h","YST6","R3","BA",11,13,18,0.15,0.15,0.29,41.3,NA,NA,"R",3
"11","220113_YST6_R3_A_BA_48hr","YST6","R3","BA",4,8,10,0.32,0.48,0.37,18.4,NA,NA,"R",3
"12","220113_YST6_R3_B_BA_48hr","YST6","R3","BA",4,8,10,0.19,0.46,0.39,26.3,NA,NA,"R",3
"13","211126_YST6_R4_A_BA_48h","YST6","R4","BA",7,8,14,0.21,0.2,0.43,25.6,NA,NA,"R",4
"14","211126_YST6_R4_B_BA_48h","YST6","R4","BA",5,9,12,0.31,0.42,0.39,24.3,NA,NA,"R",4
"15","220113_YST6_R4_A_BA_48hr","YST6","R4","BA",8,12,14,0.13,0.3,0.29,33,NA,NA,"R",4
"16","220113_YST6_R4_B_BA_48hr","YST6","R4","BA",2,6,8,0.54,0.53,0.42,22.4,NA,NA,"R",4
"17","211126_YST6_R5_A_BA_48h","YST6","R5","BA",6,9,11,0.16,0.24,0.28,24.6,NA,NA,"R",5
"18","211126_YST6_R5_B_BA_48h","YST6","R5","BA",4,8,13,0.22,0.42,0.45,16.5,NA,NA,"R",5
"19","220113_YST6_R5_A_BA_48hr","YST6","R5","BA",4,7,10,0.12,0.36,0.38,28.4,NA,NA,"R",5
"20","220113_YST6_R5_B_BA_48hr","YST6","R5","BA",3,7,8,0.42,0.39,0.36,29.4,NA,NA,"R",5
"21","211126_YST6_R6_A_BA_48h","YST6","R6","BA",7,9,13,0.12,0.18,0.32,36.5,NA,NA,"R",6
"22","211126_YST6_R6_B_BA_48h","YST6","R6","BA",8,9,15,0.1,0.14,0.38,31.2,NA,NA,"R",6
"23","220113_YST6_R6_A_BA_48hr","YST6","R6","BA",4,8,10,0.28,0.49,0.4,25.9,NA,NA,"R",6
"24","220113_YST6_R6_B_BA_48hr","YST6","R6","BA",4,8,10,0.32,0.37,0.38,33.9,NA,NA,"R",6
"25","211209_YST6_R7_A_BA_48hr","YST6","R7","BA",4,10,12,0.17,0.45,0.37,25.2,NA,NA,"R",7
"26","211209_YST6_R7_B_BA_48hr","YST6","R7","BA",4,8,12,0.25,0.4,0.44,24.1,NA,NA,"R",7
"27","220113_YST6_R7_A_BA_48hr","YST6","R7","BA",4,8,9,0.23,0.44,0.35,31,NA,NA,"R",7
"28","220113_YST6_R7_B_BA_48hr","YST6","R7","BA",6,9,11,0.16,0.38,0.34,30.2,NA,NA,"R",7
"29","211209_YST6_R8_A_BA_48hr","YST6","R8","BA",2,5,8,0.8,0.62,0.55,13.7,NA,NA,"R",8
"30","211209_YST6_R8_B_BA_48hr","YST6","R8","BA",3,8,9,0.39,0.52,0.4,19.2,NA,NA,"R",8
"31","220113_YST6_R8_A_BA_48hr","YST6","R8","BA",2,6,10,0.31,0.56,0.55,15.2,NA,NA,"R",8
"32","220113_YST6_R8_B_BA_48hr","YST6","R8","BA",1,6,8,NA,0.57,0.5,24,NA,NA,"R",8
"33","211209_YST6_R9_A_BA_48hr","YST6","R9","BA",4,8,10,0.43,0.4,0.38,22.4,NA,NA,"R",9
"34","211209_YST6_R9_B_BA_48hr","YST6","R9","BA",3,8,10,0.35,0.5,0.44,18.8,NA,NA,"R",9
"35","220113_YST6_R9_A_BA_48hr","YST6","R9","BA",3,8,11,0.48,0.54,0.49,15.3,NA,NA,"R",9
"36","220113_YST6_R9_B_BA_48hr","YST6","R9","BA",2,7,9,0.65,0.63,0.49,11.7,NA,NA,"R",9
"37","211209_YST6_R10_A_BA_48hr","YST6","R10","BA",4,6,12,0.3,0.37,0.5,14.5,NA,NA,"R",10
"38","211209_YST6_R10_B_BA_48hr","YST6","R10","BA",4,6,8,0.45,0.37,0.43,11.5,NA,NA,"R",10
"39","220113_YST6_R10_A_BA_48hr","YST6","R10","BA",6,10,11,0.15,0.36,0.3,38.8,NA,NA,"R",10
"40","220113_YST6_R10_B_BA_48hr","YST6","R10","BA",5,7,10,0.16,0.3,0.36,30.6,NA,NA,"R",10
"41","211209_YST6_R11_A_BA_48hr","YST6","R11","BA",2,7,9,0.57,0.43,0.46,19.9,NA,NA,"R",11
"42","211209_YST6_R11_B_BA_48hr","YST6","R11","BA",4,8,12,0.23,0.37,0.41,20.6,NA,NA,"R",11
"43","220113_YST6_R11_A_BA_48hr","YST6","R11","BA",3,7,9,0.32,0.49,0.39,23.1,NA,NA,"R",11
"44","220113_YST6_R11_B_BA_48hr","YST6","R11","BA",6,9,11,0.19,0.32,0.31,36.3,NA,NA,"R",11
"45","211209_YST6_R12_A_BA_48hr","YST6","R12","BA",5,9,11,0.31,0.38,0.36,27.7,NA,NA,"R",12
"46","211209_YST6_R12_B_BA_48hr","YST6","R12","BA",3,8,9,0.26,0.41,0.35,24.1,NA,NA,"R",12
"47","220113_YST6_R12_A_BA_48hr","YST6","R12","BA",8,9,12,0.11,0.15,0.28,43.3,NA,NA,"R",12
"48","220113_YST6_R12_B_BA_48hr","YST6","R12","BA",5,8,10,0.23,0.32,0.31,42.2,NA,NA,"R",12
"49","211216_YST6_R13_A_BA_48hr","YST6","R13","BA",4,9,10,0.39,0.39,0.36,27.8,NA,NA,"R",13
"50","211216_YST6_R13_B_BA_48hr","YST6","R13","BA",5,9,11,0.27,0.4,0.34,29.7,NA,NA,"R",13
"51","220120_YST6_R13_A_BA_48hr","YST6","R13","BA",7,9,10,0.21,0.18,0.21,51.8,NA,NA,"R",13
"52","220120_YST6_R13_B_BA_48hr","YST6","R13","BA",8,10,11,0.19,0.15,0.18,52.4,NA,NA,"R",13
"53","211216_YST6_R14_A_BA_48hr","YST6","R14","BA",4,9,10,0.07,0.38,0.31,27.1,NA,NA,"R",14
"54","211216_YST6_R14_B_BA_48hr","YST6","R14","BA",5,10,11,0.12,0.34,0.3,35.3,NA,NA,"R",14
"55","220120_YST6_R14_A_BA_48hr","YST6","R14","BA",5,7,12,0.17,0.27,0.42,16.8,NA,NA,"R",14
"56","220120_YST6_R14_B_BA_48hr","YST6","R14","BA",6,8,8,0.3,0.27,0.25,13.5,NA,NA,"R",14
"57","211216_YST6_R15_A_BA_48hr","YST6","R15","BA",7,11,12,0.15,0.29,0.26,40.2,NA,NA,"R",15
"58","211216_YST6_R15_B_BA_48hr","YST6","R15","BA",5,8,10,0.32,0.32,0.31,34.4,NA,NA,"R",15
"59","220120_YST6_R15_A_BA_48hr","YST6","R15","BA",8,11,14,0.06,0.23,0.29,34,NA,NA,"R",15
"60","220120_YST6_R15_B_BA_48hr","YST6","R15","BA",5,9,11,0.13,0.41,0.36,22.1,NA,NA,"R",15
"61","211216_YST6_R16_A_BA_48hr","YST6","R16","BA",5,9,11,0.22,0.36,0.31,37.4,NA,NA,"R",16
"62","211216_YST6_R16_B_BA_48hr","YST6","R16","BA",7,10,11,0.18,0.24,0.21,41.9,NA,NA,"R",16
"63","220120_YST6_R16_A_BA_48hr","YST6","R16","BA",5,9,11,0.15,0.4,0.35,31.2,NA,NA,"R",16
"64","220120_YST6_R16_B_BA_48hr","YST6","R16","BA",4,6,8,0.93,0.44,0.44,13.7,NA,NA,"R",16
"65","211216_YST6_R17_A_BA_48hr","YST6","R17","BA",7,11,13,0.13,0.28,0.3,28.8,NA,NA,"R",17
"66","211216_YST6_R17_B_BA_48hr","YST6","R17","BA",6,9,11,0.16,0.32,0.3,33.8,NA,NA,"R",17
"67","220120_YST6_R17_A_BA_48hr","YST6","R17","BA",5,9,10,0.16,0.36,0.3,28.9,NA,NA,"R",17
"68","220120_YST6_R17_B_BA_48hr","YST6","R17","BA",5,7,11,0.12,0.23,0.41,25.7,NA,NA,"R",17
"69","211216_YST6_R18_A_BA_48hr","YST6","R18","BA",4,8,10,0.2,0.41,0.36,30.2,NA,NA,"R",18
"70","211216_YST6_R18_B_BA_48hr","YST6","R18","BA",3,8,9,0.3,0.46,0.34,30.6,NA,NA,"R",18
"71","220120_YST6_R18_A_BA_48hr","YST6","R18","BA",7,8,11,0.11,0.17,0.28,44.7,NA,NA,"R",18
"72","220120_YST6_R18_B_BA_48hr","YST6","R18","BA",6,8,11,0.1,0.2,0.3,36.3,NA,NA,"R",18
"73","220120_YST6_R19_A_BA_48hr","YST6","R19","BA",6,9,10,0.24,0.25,0.24,39.9,NA,NA,"R",19
"74","220120_YST6_R19_A1_BA_48hr","YST6","R19","BA",6,7,11,0.11,0.17,0.34,35.6,NA,NA,"R",19
"75","220120_YST6_R19_B_BA_48hr","YST6","R19","BA",4,8,9,0.28,0.38,0.33,28.3,NA,NA,"R",19
"76","220120_YST6_R19_B1_BA_48hr","YST6","R19","BA",5,9,10,0.13,0.36,0.3,26.3,NA,NA,"R",19
"77","220120_YST6_R20_A_BA_48hr","YST6","R20","BA",4,8,10,0.23,0.34,0.35,26.6,NA,NA,"R",20
"78","220120_YST6_R20_A1_BA_48hr","YST6","R20","BA",7,10,12,0.1,0.27,0.27,36.2,NA,NA,"R",20
"79","220120_YST6_R20_B_BA_48hr","YST6","R20","BA",6,8,11,0.13,0.25,0.31,37.2,NA,NA,"R",20
"80","220120_YST6_R20_B1_BA_48hr","YST6","R20","BA",5,8,11,0.09,0.28,0.33,29.9,NA,NA,"R",20
"81","220120_YST6_R21_A_BA_48hr","YST6","R21","BA",7,10,11,0.12,0.24,0.24,41.9,NA,NA,"R",21
"82","220120_YST6_R21_A1_BA_48hr","YST6","R21","BA",3,8,10,0.22,0.41,0.37,21.6,NA,NA,"R",21
"83","220120_YST6_R21_B_BA_48hr","YST6","R21","BA",7,9,12,0.12,0.22,0.28,36.2,NA,NA,"R",21
"84","220120_YST6_R21_B1_BA_48hr","YST6","R21","BA",7,8,11,0.1,0.16,0.28,38.1,NA,NA,"R",21
"85","220120_YST6_R22_A_BA_48hr","YST6","R22","BA",3,8,9,0.24,0.4,0.34,22.2,NA,NA,"R",22
"86","220120_YST6_R22_A1_BA_48hr","YST6","R22","BA",8,11,13,0.09,0.28,0.27,34.2,NA,NA,"R",22
"87","220120_YST6_R22_B_BA_48hr","YST6","R22","BA",5,8,11,0.16,0.34,0.36,25.8,NA,NA,"R",22
"88","220120_YST6_R22_B1_BA_48hr","YST6","R22","BA",7,10,14,0.09,0.24,0.34,27.5,NA,NA,"R",22
"89","220120_YST6_R23_A_BA_48hr","YST6","R23","BA",6,8,12,0.12,0.22,0.34,23.4,NA,NA,"R",23
"90","220120_YST6_R23_A1_BA_48hr","YST6","R23","BA",4,8,10,0.22,0.34,0.34,20.9,NA,NA,"R",23
"91","220120_YST6_R23_B_BA_48hr","YST6","R23","BA",5,8,10,0.17,0.31,0.33,25.5,NA,NA,"R",23
"92","220120_YST6_R23_B1_BA_48hr","YST6","R23","BA",5,8,12,0.19,0.32,0.39,24.2,NA,NA,"R",23
"93","220120_YST6_R24_A_BA_48hr","YST6","R24","BA",3,8,10,0.2,0.45,0.44,16.3,NA,NA,"R",24
"94","220120_YST6_R24_A1_BA_48hr","YST6","R24","BA",3,8,11,0.25,0.37,0.44,16.4,NA,NA,"R",24
"95","220120_YST6_R24_B_BA_48hr","YST6","R24","BA",5,7,9,0.14,0.26,0.31,38,NA,NA,"R",24
"96","220120_YST6_R24_B1_BA_48hr","YST6","R24","BA",4,7,9,0.13,0.32,0.32,20.1,NA,NA,"R",24
"97","211126_YST6_R1_A_FLC_48h","YST6","R1","FLC",1,1,1,NA,NA,NA,4.5,NA,NA,"R",1
"98","211126_YST6_R1_B_FLC_48h","YST6","R1","FLC",1,1,1,NA,NA,NA,3.5,NA,NA,"R",1
