"","name","line","type","replicate","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","DDA","...12"
"1","YST6_R_12_a_BA","YST6","R",12,"BA",9,12,16,0.25,0.25,0.34,25.3,"DDA1",NA
"2","YST6_R_12_a_FLC","YST6","R",12,"FLC",4,9,23,0.33,0.46,0.59,7.6,"DDA1",NA
"3","YST6_R_12_b_BA","YST6","R",12,"BA",6,11,14,0.32,0.38,0.38,25.5,"DDA1",NA
"4","YST6_R_12_b_FLC","YST6","R",12,"FLC",3,6,20,0.53,0.49,0.67,7.4,"DDA1",NA
"5","YST6_R_13_a_FLC","YST6","R",13,"FLC",3,6,15,0.5,0.47,0.64,9.4,"DDA1",NA
"6","YST6_R_13_b_BA","YST6","R",13,"BA",8,12,14,0.21,0.29,0.28,26.3,"DDA1",NA
"7","YST6_R_13_b_FLC","YST6","R",13,"FLC",2,7,25,0.58,0.51,0.73,8.4,"DDA1",NA
"8","YST6_R_14_a_BA","YST6","R",14,"BA",7,10,16,0.22,0.3,0.43,22.1,"DDA1",NA
"9","YST6_R_14_a_FLC","YST6","R",14,"FLC",3,8,16,0.47,0.54,0.67,8.5,"DDA1",NA
"10","YST6_R_15_a_BA","YST6","R",15,"BA",7,11,13,0.28,0.33,0.33,20.3,"DDA1",NA
"11","YST6_R_15_a_FLC","YST6","R",15,"FLC",2,8,22,0.38,0.6,0.66,9.3,"DDA1",NA
"12","YST6_R_15_b_BA","YST6","R",15,"BA",6,10,16,0.38,0.37,0.47,19.2,"DDA1",NA
"13","YST6_R_15_b_FLC","YST6","R",15,"FLC",3,6,18,0.54,0.42,0.65,8.3,"DDA1",NA
"14","YST6_R_16_a_BA","YST6","R",16,"BA",8,11,15,0.26,0.25,0.36,25.2,"DDA1",NA
"15","YST6_R_16_a_FLC","YST6","R",16,"FLC",3,9,23,0.67,0.61,0.64,9.4,"DDA1",NA
"16","YST6_R_16_b_BA","YST6","R",16,"BA",7,11,14,0.24,0.31,0.34,21.6,"DDA1",NA
"17","YST6_R_16_b_FLC","YST6","R",16,"FLC",2,7,23,0.42,0.57,0.68,8.5,"DDA1",NA
"18","YST6_R_17_a_BA","YST6","R",17,"BA",0,4,1,NA,0.69,NA,28.1,"DDA1",NA
"19","YST6_R_17_a_FLC","YST6","R",17,"FLC",3,7,19,0.4,0.44,0.65,6.9,"DDA1",NA
"20","YST6_R_17_b_BA","YST6","R",17,"BA",7,11,16,0.29,0.33,0.39,17.3,"DDA1",NA
"21","YST6_R_17_b_FLC","YST6","R",17,"FLC",1,6,18,NA,0.59,0.73,8.2,"DDA1",NA
"22","YST6_R_18_a_BA","YST6","R",18,"BA",10,12,16,0.16,0.2,0.3,24.1,"DDA1",NA
"23","YST6_R_18_a_FLC","YST6","R",18,"FLC",2,7,25,0.54,0.56,0.66,8.3,"DDA1",NA
"24","YST6_R_18_b_BA","YST6","R",18,"BA",8,11,14,0.22,0.24,0.31,25.7,"DDA1",NA
"25","YST6_R_18_b_FLC","YST6","R",18,"FLC",3,6,17,0.5,0.48,0.67,8.3,"DDA1",NA
"26","YST6_R_19_a_BA","YST6","R",19,"BA",8,11,15,0.26,0.26,0.35,25.3,"DDA1",NA
"27","YST6_R_19_a_FLC","YST6","R",19,"FLC",3,9,25,0.53,0.55,0.63,8.9,"DDA1",NA
"28","YST6_R_19_b_BA","YST6","R",19,"BA",9,12,16,0.22,0.22,0.33,25.1,"DDA1",NA
"29","YST6_R_19_b_FLC","YST6","R",19,"FLC",3,6,18,0.42,0.45,0.65,7.6,"DDA1",NA
"30","YST6_R_20_a_BA","YST6","R",20,"BA",8,11,15,0.36,0.28,0.38,21.8,"DDA1",NA
"31","YST6_R_20_a_FLC","YST6","R",20,"FLC",1,5,9,NA,0.57,0.55,9.8,"DDA1",NA
"32","YST6_R_20_b_BA","YST6","R",20,"BA",8,11,14,0.26,0.27,0.31,22.8,"DDA1",NA
"33","YST6_R_20_b_FLC","YST6","R",20,"FLC",3,6,13,0.46,0.49,0.64,8.5,"DDA1",NA
"34","YST6_R_21_a_BA","YST6","R",21,"BA",6,10,15,0.42,0.35,0.44,15.2,"DDA1",NA
"35","YST6_R_21_a_FLC","YST6","R",21,"FLC",1,6,16,NA,0.62,0.68,8,"DDA1",NA
"36","YST6_R_21_b_BA","YST6","R",21,"BA",9,13,18,0.19,0.24,0.35,26.2,"DDA1",NA
"37","YST6_R_21_b_FLC","YST6","R",21,"FLC",2,7,20,0.5,0.61,0.68,8.9,"DDA1",NA
"38","YST6_R_22_a_BA","YST6","R",22,"BA",9,12,18,0.32,0.29,0.41,24.4,"DDA1",NA
