Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,0.1,0.095,0.099,0.093,0.097,0.096,0.1,0.096,0.097,0.104,0.098,0.095,0.1,0.106,0.097,0.097,0.099,0.103,0.098,0.1,0.105,0.102,0.098,0.108,0.098,0.102,0.109,0.103,0.098,0.101,0.099,0.105,0.097,0.099,0.101,0.103,0.1,0.098,0.11,0.101,0.101,0.1,0.108,0.097,0.092,0.1,0.1,0.098,0.102,0.104,0.102,0.108,0.104,0.098,0.103,0.103,0.099,0.11,0.099,0.104,0.095,0.099,0.096,0.095,0.099,0.095,0.096,0.094,0.099,0.102,0.099,0.104,0.099,0.099,0.107,0.106,0.101,0.11,0.104,0.098,0.098,0.105,0.096,0.095,0.104,0.101,0.107,0.106,0.094,0.098,0.101,0.093,0.093,0.096,0.099,0.091
2,0.109,0.104,0.107,0.102,0.104,0.103,0.108,0.105,0.104,0.115,0.105,0.102,0.106,0.114,0.106,0.105,0.106,0.111,0.107,0.108,0.115,0.11,0.105,0.121,0.101,0.105,0.112,0.108,0.1,0.106,0.105,0.11,0.102,0.104,0.104,0.105,0.11,0.106,0.121,0.108,0.108,0.107,0.113,0.103,0.099,0.107,0.105,0.107,0.112,0.115,0.11,0.115,0.111,0.105,0.113,0.113,0.106,0.122,0.108,0.111,0.103,0.107,0.105,0.103,0.108,0.105,0.104,0.102,0.11,0.112,0.106,0.116,0.103,0.102,0.11,0.109,0.103,0.117,0.11,0.102,0.102,0.107,0.1,0.098,0.114,0.108,0.119,0.112,0.102,0.107,0.111,0.103,0.101,0.106,0.106,0.098
3,0.124,0.117,0.121,0.115,0.115,0.115,0.123,0.121,0.117,0.134,0.118,0.115,0.121,0.129,0.12,0.121,0.12,0.123,0.123,0.123,0.131,0.125,0.118,0.141,0.11,0.115,0.123,0.119,0.109,0.117,0.114,0.119,0.112,0.114,0.112,0.112,0.119,0.115,0.135,0.117,0.117,0.114,0.12,0.112,0.108,0.116,0.117,0.116,0.127,0.131,0.125,0.127,0.122,0.118,0.129,0.129,0.119,0.143,0.123,0.124,0.118,0.122,0.119,0.118,0.124,0.119,0.12,0.118,0.128,0.128,0.12,0.135,0.112,0.112,0.121,0.12,0.112,0.127,0.119,0.11,0.11,0.115,0.108,0.107,0.125,0.116,0.134,0.119,0.111,0.116,0.12,0.112,0.11,0.115,0.119,0.106
4,0.144,0.136,0.141,0.133,0.131,0.133,0.147,0.143,0.135,0.159,0.138,0.134,0.141,0.152,0.142,0.141,0.14,0.142,0.144,0.143,0.154,0.147,0.137,0.167,0.13,0.137,0.147,0.144,0.127,0.142,0.134,0.138,0.134,0.135,0.132,0.13,0.142,0.135,0.166,0.139,0.134,0.131,0.137,0.131,0.122,0.136,0.137,0.136,0.148,0.152,0.145,0.145,0.139,0.137,0.152,0.151,0.138,0.171,0.144,0.143,0.139,0.143,0.14,0.14,0.146,0.14,0.141,0.14,0.151,0.151,0.14,0.161,0.131,0.135,0.146,0.144,0.129,0.151,0.143,0.129,0.13,0.134,0.127,0.126,0.152,0.135,0.167,0.141,0.129,0.135,0.141,0.133,0.126,0.137,0.14,0.123
5,0.172,0.159,0.165,0.156,0.153,0.155,0.173,0.17,0.158,0.188,0.162,0.157,0.166,0.18,0.167,0.166,0.164,0.166,0.169,0.17,0.182,0.174,0.161,0.198,0.17,0.18,0.197,0.193,0.164,0.192,0.176,0.179,0.178,0.18,0.173,0.166,0.189,0.175,0.227,0.184,0.17,0.167,0.173,0.169,0.156,0.178,0.177,0.176,0.174,0.178,0.171,0.169,0.161,0.161,0.178,0.178,0.161,0.203,0.171,0.167,0.163,0.169,0.164,0.164,0.173,0.165,0.167,0.167,0.18,0.18,0.165,0.193,0.171,0.179,0.195,0.192,0.166,0.2,0.188,0.166,0.171,0.172,0.165,0.164,0.206,0.175,0.231,0.184,0.166,0.175,0.183,0.175,0.161,0.182,0.184,0.159
6,0.207,0.189,0.196,0.186,0.18,0.184,0.206,0.204,0.188,0.227,0.193,0.187,0.197,0.217,0.199,0.197,0.195,0.196,0.202,0.2,0.219,0.209,0.191,0.237,0.245,0.26,0.291,0.287,0.234,0.282,0.254,0.259,0.261,0.262,0.25,0.236,0.276,0.251,0.341,0.269,0.24,0.235,0.242,0.24,0.218,0.257,0.253,0.251,0.207,0.213,0.204,0.199,0.189,0.191,0.213,0.215,0.192,0.245,0.205,0.198,0.195,0.203,0.196,0.196,0.208,0.197,0.2,0.201,0.217,0.218,0.197,0.235,0.244,0.259,0.286,0.281,0.233,0.29,0.274,0.236,0.248,0.245,0.234,0.237,0.307,0.25,0.349,0.267,0.234,0.25,0.263,0.254,0.228,0.264,0.268,0.226
7,0.253,0.228,0.238,0.226,0.216,0.22,0.251,0.25,0.228,0.278,0.235,0.225,0.237,0.265,0.244,0.238,0.237,0.237,0.246,0.242,0.268,0.256,0.23,0.287,0.376,0.399,0.45,0.447,0.358,0.438,0.392,0.398,0.404,0.404,0.386,0.365,0.431,0.388,0.527,0.415,0.366,0.36,0.365,0.368,0.333,0.395,0.39,0.387,0.252,0.259,0.247,0.24,0.227,0.23,0.259,0.262,0.232,0.3,0.249,0.238,0.237,0.248,0.238,0.239,0.253,0.239,0.243,0.246,0.267,0.267,0.239,0.287,0.372,0.397,0.44,0.434,0.354,0.446,0.422,0.36,0.382,0.376,0.359,0.368,0.476,0.385,0.537,0.412,0.357,0.387,0.402,0.391,0.349,0.408,0.415,0.348
8,0.313,0.281,0.293,0.278,0.265,0.27,0.308,0.31,0.282,0.341,0.29,0.275,0.293,0.326,0.3,0.294,0.292,0.292,0.303,0.3,0.332,0.317,0.283,0.35,0.574,0.629,0.676,0.673,0.551,0.69,0.605,0.633,0.645,0.644,0.594,0.566,0.654,0.601,0.728,0.664,0.573,0.565,0.572,0.596,0.523,0.636,0.606,0.598,0.309,0.319,0.305,0.295,0.279,0.282,0.319,0.324,0.286,0.368,0.307,0.291,0.291,0.305,0.295,0.294,0.313,0.296,0.3,0.305,0.33,0.329,0.293,0.353,0.57,0.628,0.66,0.653,0.546,0.695,0.638,0.579,0.616,0.609,0.56,0.576,0.706,0.597,0.738,0.657,0.556,0.6,0.618,0.623,0.547,0.649,0.638,0.547
9,0.392,0.346,0.362,0.345,0.327,0.333,0.378,0.384,0.349,0.416,0.357,0.338,0.361,0.4,0.371,0.362,0.361,0.36,0.374,0.37,0.409,0.392,0.348,0.423,0.717,0.718,0.784,0.775,0.718,0.767,0.754,0.776,0.768,0.772,0.763,0.736,0.747,0.739,0.753,0.734,0.741,0.73,0.727,0.732,0.742,0.743,0.758,0.801,0.379,0.39,0.377,0.362,0.344,0.349,0.392,0.398,0.356,0.447,0.378,0.356,0.359,0.375,0.364,0.364,0.385,0.365,0.371,0.38,0.406,0.404,0.362,0.432,0.707,0.705,0.763,0.754,0.707,0.772,0.79,0.721,0.739,0.73,0.725,0.739,0.797,0.732,0.761,0.73,0.724,0.767,0.775,0.767,0.765,0.765,0.786,0.738
10,0.483,0.419,0.44,0.422,0.401,0.408,0.449,0.46,0.426,0.479,0.434,0.414,0.436,0.482,0.447,0.44,0.437,0.437,0.453,0.448,0.48,0.472,0.427,0.504,0.725,0.723,0.79,0.782,0.731,0.772,0.764,0.787,0.775,0.779,0.775,0.75,0.752,0.745,0.754,0.737,0.751,0.742,0.738,0.741,0.776,0.75,0.767,0.824,0.455,0.467,0.455,0.44,0.421,0.427,0.463,0.475,0.435,0.511,0.458,0.43,0.431,0.451,0.439,0.442,0.463,0.443,0.451,0.46,0.477,0.486,0.444,0.513,0.714,0.712,0.77,0.761,0.718,0.777,0.801,0.73,0.746,0.736,0.737,0.748,0.802,0.74,0.762,0.733,0.736,0.779,0.785,0.776,0.798,0.771,0.795,0.759
