Well,Strain,Place,Replicate,Pos
A1,YST6,V,1,1
A2,YST6,V,2,1
A3,YST6,V,3,1
A4,YST6,V,4,1
A5,YST6,V,5,1
A6,YST6,V,6,1
A7,YST6,V,7,1
A8,YST6,V,8,1
A9,YST6,V,9,1
A10,YST6,V,10,1
A11,YST6,V,11,1
A12,YST6,V,12,1
B1,YST6,R,1,1.2
B2,YST6,R,2,1.2
B3,YST6,R,3,1.2
B4,YST6,R,4,1.2
B5,YST6,R,5,1.2
B6,YST6,R,6,1.2
B7,YST6,R,7,1.2
B8,YST6,R,8,1.2
B9,YST6,R,9,1.2
B10,YST6,R,10,1.2
B11,YST6,R,11,1.2
B12,YST6,R,12,1.2
C1,YST7,V,1,2
C2,YST7,V,2,2
C3,YST7,V,3,2
C4,YST7,V,4,2
C5,YST7,V,5,2
C6,YST7,V,6,2
C7,YST7,V,7,2
C8,YST7,V,8,2
C9,YST7,V,9,2
C10,YST7,V,10,2
C11,YST7,V,11,2
C12,YST7,V,12,2
D1,YST7,R,1,2.2
D2,YST7,R,2,2.2
D3,YST7,R,3,2.2
D4,YST7,R,4,2.2
D5,YST7,R,5,2.2
D6,YST7,R,6,2.2
D7,YST7,R,7,2.2
D8,YST7,R,8,2.2
D9,YST7,R,9,2.2
D10,YST7,R,10,2.2
D11,YST7,R,11,2.2
D12,YST7,R,12,2.2
E1,YST6,V,1,1
E2,YST6,V,2,1
E3,YST6,V,3,1
E4,YST6,V,4,1
E5,YST6,V,5,1
E6,YST6,V,6,1
E7,YST6,V,7,1
E8,YST6,V,8,1
E9,YST6,V,9,1
E10,YST6,V,10,1
E11,YST6,V,11,1
E12,YST6,V,12,1
F1,YST6,R,1,1.2
F2,YST6,R,2,1.2
F3,YST6,R,3,1.2
F4,YST6,R,4,1.2
F5,YST6,R,5,1.2
F6,YST6,R,6,1.2
F7,YST6,R,7,1.2
F8,YST6,R,8,1.2
F9,YST6,R,9,1.2
F10,YST6,R,10,1.2
F11,YST6,R,11,1.2
F12,YST6,R,12,1.2
G1,YST7,V,1,2
G2,YST7,V,2,2
G3,YST7,V,3,2
G4,YST7,V,4,2
G5,YST7,V,5,2
G6,YST7,V,6,2
G7,YST7,V,7,2
G8,YST7,V,8,2
G9,YST7,V,9,2
G10,YST7,V,10,2
G11,YST7,V,11,2
G12,YST7,V,12,2
H1,YST7,R,1,2.2
H2,YST7,R,2,2.2
H3,YST7,R,3,2.2
H4,YST7,R,4,2.2
H5,YST7,R,5,2.2
H6,YST7,R,6,2.2
H7,YST7,R,7,2.2
H8,YST7,R,8,2.2
H9,YST7,R,9,2.2
H10,YST7,R,10,2.2
H11,YST7,R,11,2.2
H12,YST7,R,12,2.2
