Well,Strain,Place,Replicate
A1,YST6,R,13
A2,YST6,R,14
A3,YST6,R,15
A4,YST6,R,16
A5,YST6,R,17
A6,YST6,R,18
A7,YST6,R,19
A8,YST6,R,20
A9,YST6,R,21
A10,YST6,R,22
A11,YST6,R,23
A12,YST6,R,24
B1,YST6,R,13
B2,YST6,R,14
B3,YST6,R,15
B4,YST6,R,16
B5,YST6,R,17
B6,YST6,R,18
B7,YST6,R,19
B8,YST6,R,20
B9,YST6,R,21
B10,YST6,R,22
B11,YST6,R,23
B12,YST6,R,24
C1,YST6,V,13
C2,YST6,V,14
C3,YST6,V,15
C4,YST6,V,16
C5,YST6,V,17
C6,YST6,V,18
C7,YST6,V,19
C8,YST6,V,20
C9,YST6,V,21
C10,YST6,V,22
C11,YST6,V,23
C12,YST6,V,24
D1,YST6,V,13
D2,YST6,V,14
D3,YST6,V,15
D4,YST6,V,16
D5,YST6,V,17
D6,YST6,V,18
D7,YST6,V,19
D8,YST6,V,20
D9,YST6,V,21
D10,YST6,V,22
D11,YST6,V,23
D12,YST6,V,24
E1,YST7,R,13
E2,YST7,R,14
E3,YST7,R,15
E4,YST7,R,16
E5,YST7,R,17
E6,YST7,R,18
E7,YST7,R,19
E8,YST7,R,20
E9,YST7,R,21
E10,YST7,R,22
E11,YST7,R,23
E12,YST7,R,24
F1,YST7,R,13
F2,YST7,R,14
F3,YST7,R,15
F4,YST7,R,16
F5,YST7,R,17
F6,YST7,R,18
F7,YST7,R,19
F8,YST7,R,20
F9,YST7,R,21
F10,YST7,R,22
F11,YST7,R,23
F12,YST7,R,24
G1,YST7,V,13
G2,YST7,V,14
G3,YST7,V,15
G4,YST7,V,16
G5,YST7,V,17
G6,YST7,V,18
G7,YST7,V,19
G8,YST7,V,20
G9,YST7,V,21
G10,YST7,V,22
G11,YST7,V,23
G12,YST7,V,24
H1,YST7,V,13
H2,YST7,V,14
H3,YST7,V,15
H4,YST7,V,16
H5,YST7,V,17
H6,YST7,V,18
H7,YST7,V,19
H8,YST7,V,20
H9,YST7,V,21
H10,YST7,V,22
H11,YST7,V,23
H12,YST7,V,24
