Well,Strain,Place,Replicate
A1,YST6,R,25
A2,YST6,R,26
A3,YST6,R,27
A4,YST6,R,28
A5,YST6,R,29
A6,YST6,R,30
A7,YST6,R,31
A8,YST6,R,32
A9,YST6,R,33
A10,YST6,R,34
A11,YST6,R,35
A12,YST6,R,36
B1,YST6,R,25
B2,YST6,R,26
B3,YST6,R,27
B4,YST6,R,28
B5,YST6,R,29
B6,YST6,R,30
B7,YST6,R,31
B8,YST6,R,32
B9,YST6,R,33
B10,YST6,R,34
B11,YST6,R,35
B12,YST6,R,36
C1,YST6,V,25
C2,YST6,V,26
C3,YST6,V,27
C4,YST6,V,28
C5,YST6,V,29
C6,YST6,V,30
C7,YST6,V,31
C8,YST6,V,32
C9,YST6,V,33
C10,YST6,V,34
C11,YST6,V,35
C12,YST6,V,36
D1,YST6,V,25
D2,YST6,V,26
D3,YST6,V,27
D4,YST6,V,28
D5,YST6,V,29
D6,YST6,V,30
D7,YST6,V,31
D8,YST6,V,32
D9,YST6,V,33
D10,YST6,V,34
D11,YST6,V,35
D12,YST6,V,36
E1,YST7,R,25
E2,YST7,R,26
E3,YST7,R,27
E4,YST7,R,28
E5,YST7,R,29
E6,YST7,R,30
E7,YST7,R,31
E8,YST7,R,32
E9,YST7,R,33
E10,YST7,R,34
E11,YST7,R,35
E12,YST7,R,36
F1,YST7,R,25
F2,YST7,R,26
F3,YST7,R,27
F4,YST7,R,28
F5,YST7,R,29
F6,YST7,R,30
F7,YST7,R,31
F8,YST7,R,32
F9,YST7,R,33
F10,YST7,R,34
F11,YST7,R,35
F12,YST7,R,36
G1,YST7,V,25
G2,YST7,V,26
G3,YST7,V,27
G4,YST7,V,28
G5,YST7,V,29
G6,YST7,V,30
G7,YST7,V,31
G8,YST7,V,32
G9,YST7,V,33
G10,YST7,V,34
G11,YST7,V,35
G12,YST7,V,36
H1,YST7,R,25
H2,YST7,R,26
H3,YST7,R,27
H4,YST7,R,28
H5,YST7,R,29
H6,YST7,R,30
H7,YST7,R,31
H8,YST7,R,32
H9,YST7,R,33
H10,YST7,R,34
H11,YST7,R,35
H12,YST7,R,36
