name,scaleB1,scaleB2,max,mean
YST6R1,0,0,0,0
YST6R2,0,0,0,0
YST6R3,0,0,0,0
YST6R4,0,0,0,0
YST6R5,0,0,0,0
YST6R6,0,0,0,0
YST6R7,0,0,0,0
YST6R8,0,0.25,0.25,0.13
YST6R9,0,0,0,0
YST6R10,0,0,0,0
YST6R11,0,0,0,0
YST6R12,0,0,0,0
YST6R13,0,0,0,0
YST6R14,0,0,0,0
YST6R15,0,0,0,0
YST6R16,0,0,0,0
YST6R17,0,0,0,0
YST6R18,0,0,0,0
YST6R19,0,0,0,0
YST6R20,0,0,0,0
YST6R21,0,0,0,0
YST6R22,0,0,0,0
YST6R23,0.25,0,0.25,0.13
YST6R24,0.25,0,0.25,0.13
YST6V1,0,0,0,0
YST6V2,0,0.25,0.25,0.13
YST6V3,0,0,0,0
YST6V4,0,0,0,0
YST6V5,0,0,0,0
YST6V6,0,0.25,0.25,0.13
YST6V7,0,0,0,0
YST6V8,0,0,0,0
YST6V9,0,0,0,0
YST6V10,0,0,0,0
YST6V11,0,0.25,0.25,0.13
YST6V12,0,0,0,0
YST6V13,0,0,0,0
YST6V14,0,0,0,0
YST6V15,0,0,0,0
YST6V16,0,0.25,0.25,0.13
YST6V17,0,0,0,0
YST6V18,0.25,0,0.25,0.13
YST6V19,0,0,0,0
YST6V20,0,0,0,0
YST6V21,0.25,0,0.25,0.13
YST6V22,0,0,0,0
YST6V23,0,0,0,0
YST6V24,0,0,0,0
YST7R1,0.5,0.25,0.5,0.38
YST7R2,0.5,0,0.5,0.25
YST7R3,0.5,0,0.5,0.25
YST7R4,0.5,0.25,0.5,0.38
YST7R5,0.5,0,0.5,0.25
YST7R6,0.5,0.25,0.5,0.38
YST7R7,0.5,0.25,0.5,0.38
YST7R8,0.25,0.25,0.25,0.25
YST7R9,0.5,0.25,0.5,0.38
YST7R10,0.25,0.25,0.25,0.25
YST7R11,0.25,0.25,0.25,0.25
YST7R12,0.25,0.5,0.5,0.38
YST7R13,0.25,0.25,0.25,0.25
YST7R14,0.25,0,0.25,0.13
YST7R15,0.5,0.25,0.5,0.38
YST7R16,0.25,0.25,0.25,0.25
YST7R17,0.25,0,0.25,0.13
YST7R18,0.25,0,0.25,0.13
YST7R19,0.5,0.25,0.5,0.38
YST7R20,0.5,0.25,0.5,0.38
YST7R21,0.5,0,0.5,0.25
YST7R22,0.5,0,0.5,0.25
YST7R23,0.5,0,0.5,0.25
YST7R24,0.5,0,0.5,0.25
YST7V1,0,0.5,0.5,0.25
YST7V2,0.5,0,0.5,0.25
YST7V3,0.75,0,0.75,0.38
YST7V4,0.75,0,0.75,0.38
YST7V5,0.5,0,0.5,0.25
YST7V6,0.5,0,0.5,0.25
YST7V7,0.75,0.5,0.75,0.63
YST7V8,0.5,0.75,0.75,0.63
YST7V9,0.5,0,0.5,0.25
YST7V10,0.5,0.25,0.5,0.38
YST7V11,0.5,0.25,0.5,0.38
YST7V12,0.5,0.25,0.5,0.38
YST7V13,0.5,0.75,0.75,0.63
YST7V14,0.5,0.25,0.5,0.38
YST7V15,0.5,0.25,0.5,0.38
YST7V16,0.75,0.25,0.75,0.5
YST7V17,0.5,0.5,0.5,0.5
YST7V18,0.5,0.5,0.5,0.5
YST7V19,0.75,0.25,0.75,0.5
YST7V20,0.5,0.25,0.5,0.38
YST7V21,0.5,0.5,0.5,0.5
YST7V22,0.5,0.5,0.5,0.5
YST7V23,0.5,0.5,0.5,0.5
YST7V24,0.5,0.25,0.5,0.38
YAG003,1,1,1,1
TVY4R1,0.75,0.75,0.75,0.75
TVY4R2,0.75,0.5,0.75,0.63
TVY4R3,0.5,0.75,0.75,0.63
TVY4R4,0.5,0.75,0.75,0.63
TVY4R5,0.5,0.5,0.5,0.5
TVY4R6,0.75,0.75,0.75,0.75
TVY4R7,0.75,0.5,0.75,0.63
TVY4R8,0.5,0.75,0.75,0.63
TVY4R9,0.75,0.75,0.75,0.75
TVY4R10,0.5,0.75,0.75,0.63
TVY4R11,0.5,0.75,0.75,0.63
TVY4R12,0.75,0.75,0.75,0.75
TVY4R13,0.75,0.25,0.75,0.5
TVY4R14,0.5,0.25,0.5,0.38
TVY4R15,0.5,0.25,0.5,0.38
TVY4R16,0.5,0.25,0.5,0.38
TVY4R17,0.75,0.5,0.75,0.63
TVY4R18,0.5,0.75,0.75,0.63
TVY4R19,0.5,0.75,0.75,0.63
TVY4R20,0.75,0.75,0.75,0.75
TVY4R21,0.75,0.75,0.75,0.75
TVY4R22,0.75,0.75,0.75,0.75
TVY4R23,0.75,0.5,0.75,0.63
TVY4R24,0.75,0.75,0.75,0.75
TVY4V1,0.5,0.75,0.75,0.63
TVY4V2,0.75,0.5,0.75,0.63
TVY4V3,0.5,0.5,0.5,0.5
TVY4V4,0.5,0.5,0.5,0.5
TVY4V5,0.75,0.5,0.75,0.63
TVY4V6,0.75,0.5,0.75,0.63
TVY4V7,0.5,0.5,0.5,0.5
