pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
TVY10R	Ca22chr1A_C_albicans_SC5314	1	10000	0.006168936009902589	5407	917	148648	504
TVY10V	Ca22chr1A_C_albicans_SC5314	1	10000	0.005818577033188421	5407	878	150896	80
TVY4R	Ca22chr1A_C_albicans_SC5314	1	10000	0.007457873095218898	5407	1110	148836	480
TVY4V	Ca22chr1A_C_albicans_SC5314	1	10000	0.007168893470512534	5407	1064	148419	482
YST7R	Ca22chr1A_C_albicans_SC5314	1	10000	0.011016943528209349	5407	1660	150677	118
YST7V	Ca22chr1A_C_albicans_SC5314	1	10000	0.01129375004137511	5407	1706	151057	54
YST7V	Ca22chr1A_C_albicans_SC5314	10001	20000	0.00010427567509189295	9594	28	268519	18
TVY4V	Ca22chr1A_C_albicans_SC5314	10001	20000	0.0006071306187517692	9594	163	268476	24
YST7R	Ca22chr1A_C_albicans_SC5314	10001	20000	9.684219936084148e-05	9594	26	268478	28
TVY10V	Ca22chr1A_C_albicans_SC5314	10001	20000	0.00022335388189046728	9594	60	268632	0
TVY10R	Ca22chr1A_C_albicans_SC5314	10001	20000	0.0003574700060323064	9594	96	268554	12
TVY4R	Ca22chr1A_C_albicans_SC5314	10001	20000	0.000688674469162274	9594	185	268632	0
TVY10R	Ca22chr1A_C_albicans_SC5314	20001	30000	0.00016082686451944934	9993	45	279804	0
TVY10V	Ca22chr1A_C_albicans_SC5314	20001	30000	0.0001286674696469865	9993	36	279791	2
TVY4R	Ca22chr1A_C_albicans_SC5314	20001	30000	0.00022874216826130933	9993	64	279791	2
TVY4V	Ca22chr1A_C_albicans_SC5314	20001	30000	0.0002287315406498835	9993	64	279804	0
YST7R	Ca22chr1A_C_albicans_SC5314	20001	30000	0.0	9993	0	279804	0
YST7V	Ca22chr1A_C_albicans_SC5314	20001	30000	0.0	9993	0	279804	0
YST7R	Ca22chr1A_C_albicans_SC5314	30001	40000	0.0	9994	0	279832	0
YST7V	Ca22chr1A_C_albicans_SC5314	30001	40000	0.0	9994	0	279806	4
TVY4V	Ca22chr1A_C_albicans_SC5314	30001	40000	0.0009971194327498339	9994	279	279806	4
TVY10R	Ca22chr1A_C_albicans_SC5314	30001	40000	0.0008827954952411248	9994	247	279793	6
TVY10V	Ca22chr1A_C_albicans_SC5314	30001	40000	0.0006861259612910602	9994	192	279832	0
TVY4R	Ca22chr1A_C_albicans_SC5314	30001	40000	0.0009721472660145177	9994	272	279793	6
TVY10R	Ca22chr1A_C_albicans_SC5314	40001	50000	0.0019264607730113464	9444	508	263696	128
TVY10V	Ca22chr1A_C_albicans_SC5314	40001	50000	0.0019537240024080785	9444	516	264111	50
TVY4R	Ca22chr1A_C_albicans_SC5314	40001	50000	0.0015878730459497868	9444	419	263875	90
TVY4V	Ca22chr1A_C_albicans_SC5314	40001	50000	0.0016103426535712384	9444	424	263298	196
YST7R	Ca22chr1A_C_albicans_SC5314	40001	50000	0.0017584861136322382	9444	465	264432	0
YST7V	Ca22chr1A_C_albicans_SC5314	40001	50000	0.0017320994330967136	9444	458	264419	2
TVY10R	Ca22chr1A_C_albicans_SC5314	50001	60000	5.361144568624437e-05	9993	15	279791	2
TVY10V	Ca22chr1A_C_albicans_SC5314	50001	60000	4.2887163871853164e-05	9993	12	279804	0
TVY4R	Ca22chr1A_C_albicans_SC5314	50001	60000	0.00011437639843018394	9993	32	279778	4
TVY4V	Ca22chr1A_C_albicans_SC5314	50001	60000	0.00011436577032494175	9993	32	279804	0
YST7R	Ca22chr1A_C_albicans_SC5314	50001	60000	0.0	9993	0	279804	0
YST7V	Ca22chr1A_C_albicans_SC5314	50001	60000	0.0	9993	0	279804	0
YST7R	Ca22chr1A_C_albicans_SC5314	60001	70000	0.0	9992	0	279776	0
TVY4V	Ca22chr1A_C_albicans_SC5314	60001	70000	0.00045757264859493026	9992	128	279737	6
YST7V	Ca22chr1A_C_albicans_SC5314	60001	70000	0.0	9992	0	279776	0
TVY10V	Ca22chr1A_C_albicans_SC5314	60001	70000	0.0003431586322268851	9992	96	279754	4
TVY10R	Ca22chr1A_C_albicans_SC5314	60001	70000	0.00042895442359249333	9992	120	279750	4
TVY4R	Ca22chr1A_C_albicans_SC5314	60001	70000	0.0004575301237118561	9992	128	279763	2
TVY10R	Ca22chr1A_C_albicans_SC5314	70001	80000	0.0002679499683819037	9997	75	279903	2
TVY10V	Ca22chr1A_C_albicans_SC5314	70001	80000	0.0002143500192915017	9997	60	279916	0
TVY4R	Ca22chr1A_C_albicans_SC5314	70001	80000	0.00019648751768387655	9997	55	279916	0
TVY4V	Ca22chr1A_C_albicans_SC5314	70001	80000	0.00017148797976441842	9997	48	279903	2
YST7R	Ca22chr1A_C_albicans_SC5314	70001	80000	0.0	9997	0	279916	0
YST7V	Ca22chr1A_C_albicans_SC5314	70001	80000	0.0	9997	0	279916	0
YST7V	Ca22chr1A_C_albicans_SC5314	80001	90000	2.516862981979261e-05	9933	7	278124	0
YST7R	Ca22chr1A_C_albicans_SC5314	80001	90000	0.0	9933	0	278124	0
TVY4V	Ca22chr1A_C_albicans_SC5314	80001	90000	0.0002877221754673687	9933	80	278046	12
TVY10V	Ca22chr1A_C_albicans_SC5314	80001	90000	0.0003275702566206988	9933	91	277803	50
TVY10R	Ca22chr1A_C_albicans_SC5314	80001	90000	0.00040290523453041755	9933	112	277981	22
TVY4R	Ca22chr1A_C_albicans_SC5314	80001	90000	0.0002879303208623513	9933	80	277845	46
TVY10R	Ca22chr1A_C_albicans_SC5314	90001	100000	0.0007505253677574302	9993	210	279804	0
TVY10V	Ca22chr1A_C_albicans_SC5314	90001	100000	0.0006004202942059443	9993	168	279804	0
TVY4R	Ca22chr1A_C_albicans_SC5314	90001	100000	0.0014867550142242426	9993	416	279804	0
TVY4V	Ca22chr1A_C_albicans_SC5314	90001	100000	0.0014867550142242426	9993	416	279804	0
YST7R	Ca22chr1A_C_albicans_SC5314	90001	100000	0.0	9993	0	279804	0
YST7V	Ca22chr1A_C_albicans_SC5314	90001	100000	0.0	9993	0	279804	0
YST7R	Ca22chr1A_C_albicans_SC5314	100001	110000	0.0	10000	0	280000	0
TVY4R	Ca22chr1A_C_albicans_SC5314	100001	110000	0.00028571428571428574	10000	80	280000	0
TVY4V	Ca22chr1A_C_albicans_SC5314	100001	110000	0.00028572755163632597	10000	80	279987	2
YST7V	Ca22chr1A_C_albicans_SC5314	100001	110000	0.0	10000	0	280000	0
TVY10R	Ca22chr1A_C_albicans_SC5314	100001	110000	0.0002678695796590556	10000	75	279987	2
TVY10V	Ca22chr1A_C_albicans_SC5314	100001	110000	0.00021428571428571427	10000	60	280000	0
TVY4V	Ca22chr1A_C_albicans_SC5314	110001	120000	0.0014310604515711256	9984	400	279513	6
TVY10R	Ca22chr1A_C_albicans_SC5314	110001	120000	0.0013414320054945055	9984	375	279552	0
TVY10V	Ca22chr1A_C_albicans_SC5314	110001	120000	0.0010732953386783444	9984	300	279513	6
TVY4R	Ca22chr1A_C_albicans_SC5314	110001	120000	0.0014308608058608058	9984	400	279552	0
YST7R	Ca22chr1A_C_albicans_SC5314	110001	120000	5.7237093929648464e-05	9984	16	279539	2
YST7V	Ca22chr1A_C_albicans_SC5314	110001	120000	5.72397558724412e-05	9984	16	279526	4
YST7V	Ca22chr1A_C_albicans_SC5314	120001	130000	0.0	9976	0	279328	0
TVY10V	Ca22chr1A_C_albicans_SC5314	120001	130000	0.0005585092100316846	9976	156	279315	2
TVY4R	Ca22chr1A_C_albicans_SC5314	120001	130000	0.00017189699072830606	9976	48	279237	14
TVY4V	Ca22chr1A_C_albicans_SC5314	120001	130000	0.00017195118019408992	9976	48	279149	38
YST7R	Ca22chr1A_C_albicans_SC5314	120001	130000	0.0	9976	0	279315	2
TVY10R	Ca22chr1A_C_albicans_SC5314	120001	130000	0.0006981690070246543	9976	195	279302	4
TVY10R	Ca22chr1A_C_albicans_SC5314	130001	140000	0.0027600190495432443	9910	765	277172	48
TVY10V	Ca22chr1A_C_albicans_SC5314	130001	140000	0.002217143021947913	9910	615	277384	16
TVY4V	Ca22chr1A_C_albicans_SC5314	130001	140000	0.002191559611863258	9910	608	277428	8
YST7R	Ca22chr1A_C_albicans_SC5314	130001	140000	0.0	9910	0	277467	2
YST7V	Ca22chr1A_C_albicans_SC5314	130001	140000	0.0	9910	0	276509	150
TVY4R	Ca22chr1A_C_albicans_SC5314	130001	140000	0.002191354242505064	9910	608	277454	4
TVY10R	Ca22chr1A_C_albicans_SC5314	140001	150000	0.004101138955576613	9567	1095	266999	138
TVY10V	Ca22chr1A_C_albicans_SC5314	140001	150000	0.003340778068334437	9567	893	267303	90
TVY4R	Ca22chr1A_C_albicans_SC5314	140001	150000	0.004264782836211407	9567	1141	267540	56
TVY4V	Ca22chr1A_C_albicans_SC5314	140001	150000	0.004332113757266953	9567	1158	267306	92
YST7R	Ca22chr1A_C_albicans_SC5314	140001	150000	0.0002020519498013156	9567	54	267258	100
YST7V	Ca22chr1A_C_albicans_SC5314	140001	150000	0.00016842262851582236	9567	45	267185	110
