pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
YST6R	ChrA_C_glabrata_CBS138	1	5000	0.005945192272805	4704	1147	192929	752131
YST6V	ChrA_C_glabrata_CBS138	1	5000	0.0060129533545272	4715	1167	194081	750979
YST6R	ChrA_C_glabrata_CBS138	5001	10000	0.0031056760498384	4931	673	216700	723800
YST6V	ChrA_C_glabrata_CBS138	5001	10000	0.0043106621029774	4930	937	217368	723132
YST6V	ChrA_C_glabrata_CBS138	10001	15000	0.0	4993	0	224449	724791
YST6R	ChrA_C_glabrata_CBS138	10001	15000	0.0	4990	0	224469	724771
YST6V	ChrA_C_glabrata_CBS138	15001	20000	0.0	3024	0	116370	832870
YST6R	ChrA_C_glabrata_CBS138	15001	20000	2.605410569282209e-05	2957	3	115145	834095
YST6V	ChrA_C_glabrata_CBS138	20001	25000	0.0	5000	0	225000	725000
YST6R	ChrA_C_glabrata_CBS138	20001	25000	0.0	5000	0	225000	725000
YST6V	ChrA_C_glabrata_CBS138	25001	30000	0.0	4994	0	224730	724130
YST6R	ChrA_C_glabrata_CBS138	25001	30000	0.0	4994	0	224730	724130
YST6V	ChrA_C_glabrata_CBS138	30001	35000	0.0	4999	0	224955	724855
YST6R	ChrA_C_glabrata_CBS138	30001	35000	0.0	4999	0	224955	724855
YST6V	ChrA_C_glabrata_CBS138	35001	40000	0.0	4998	0	224910	724710
YST6R	ChrA_C_glabrata_CBS138	35001	40000	0.0	4998	0	224910	724710
YST6V	ChrA_C_glabrata_CBS138	40001	45000	0.0	4998	0	224910	724710
YST6R	ChrA_C_glabrata_CBS138	40001	45000	0.0	4998	0	224910	724710
YST6R	ChrA_C_glabrata_CBS138	45001	50000	0.0	4985	0	224325	722825
YST6V	ChrA_C_glabrata_CBS138	45001	50000	0.0	4985	0	224325	722825
YST6R	ChrA_C_glabrata_CBS138	50001	55000	0.0	4997	0	224865	724565
YST6V	ChrA_C_glabrata_CBS138	50001	55000	0.0	4997	0	224865	724565
YST6V	ChrA_C_glabrata_CBS138	55001	60000	0.0	4957	0	223065	718765
YST6R	ChrA_C_glabrata_CBS138	55001	60000	0.0	4957	0	223065	718765
YST6V	ChrA_C_glabrata_CBS138	60001	65000	0.0	5000	0	225000	725000
YST6R	ChrA_C_glabrata_CBS138	60001	65000	0.0	5000	0	225000	725000
YST6V	ChrA_C_glabrata_CBS138	65001	70000	0.0	4987	0	224415	723115
YST6R	ChrA_C_glabrata_CBS138	65001	70000	0.0	4987	0	224415	723115
YST6R	ChrA_C_glabrata_CBS138	70001	75000	0.0	4989	0	223856	724054
YST6V	ChrA_C_glabrata_CBS138	70001	75000	0.0	4989	0	223844	724066
YST6V	ChrA_C_glabrata_CBS138	75001	80000	0.0	2745	0	123525	398025
YST6R	ChrA_C_glabrata_CBS138	75001	80000	0.0	2745	0	123525	398025
YST6V	ChrA_C_glabrata_CBS138	80001	85000	0.0	3634	0	163530	526930
YST6R	ChrA_C_glabrata_CBS138	80001	85000	0.0	3634	0	163530	526930
YST6R	ChrA_C_glabrata_CBS138	85001	90000	0.0	5000	0	225000	725000
YST6V	ChrA_C_glabrata_CBS138	85001	90000	0.0	5000	0	225000	725000
YST6R	ChrA_C_glabrata_CBS138	90001	95000	0.0	5000	0	225000	725000
YST6V	ChrA_C_glabrata_CBS138	90001	95000	0.0	5000	0	225000	725000
YST6R	ChrA_C_glabrata_CBS138	95001	100000	0.0	4998	0	224910	724710
YST6V	ChrA_C_glabrata_CBS138	95001	100000	0.0	4998	0	224910	724710
YST6V	ChrA_C_glabrata_CBS138	100001	105000	0.0	4991	0	224595	723695
YST6R	ChrA_C_glabrata_CBS138	100001	105000	0.0	4991	0	224595	723695
YST6V	ChrA_C_glabrata_CBS138	105001	110000	0.0	4992	0	224640	723840
YST6R	ChrA_C_glabrata_CBS138	105001	110000	0.0	4992	0	224640	723840
YST6V	ChrA_C_glabrata_CBS138	110001	115000	0.0	4997	0	224865	724565
YST6R	ChrA_C_glabrata_CBS138	110001	115000	0.0	4997	0	224865	724565
YST6V	ChrA_C_glabrata_CBS138	115001	120000	0.0	5000	0	225000	725000
YST6R	ChrA_C_glabrata_CBS138	115001	120000	0.0	5000	0	225000	725000
YST6V	ChrA_C_glabrata_CBS138	120001	125000	0.0	4960	0	223200	719200
YST6R	ChrA_C_glabrata_CBS138	120001	125000	0.0	4960	0	223200	719200
YST6R	ChrA_C_glabrata_CBS138	125001	130000	0.0	4932	0	221940	715140
YST6V	ChrA_C_glabrata_CBS138	125001	130000	0.0	4932	0	221940	715140
YST6V	ChrA_C_glabrata_CBS138	130001	135000	0.0004895418165696	4893	106	216529	714091
YST6R	ChrA_C_glabrata_CBS138	130001	135000	0.0005361657676645	4887	116	216351	714269
YST6V	ChrA_C_glabrata_CBS138	135001	140000	0.0001749648888027	4918	37	211471	722949
YST6R	ChrA_C_glabrata_CBS138	135001	140000	0.0002652468724982	4918	55	207354	727066
YST6V	ChrA_C_glabrata_CBS138	140001	145000	3.7116252743123056e-05	4965	8	215539	732941
YST6R	ChrA_C_glabrata_CBS138	140001	145000	0.0001282550660751	4945	27	210518	737962
YST6V	ChrA_C_glabrata_CBS138	145001	150000	0.0006630306919046	4513	124	187020	760890
YST6R	ChrA_C_glabrata_CBS138	145001	150000	0.0006974367846542	4338	129	184963	762947
YST6R	ChrA_C_glabrata_CBS138	150001	155000	0.0	4979	0	223983	722027
YST6V	ChrA_C_glabrata_CBS138	150001	155000	0.0	4979	0	223452	722558
YST6V	ChrA_C_glabrata_CBS138	155001	160000	0.0	4964	0	223380	719780
YST6R	ChrA_C_glabrata_CBS138	155001	160000	0.0	4964	0	223380	719780
YST6V	ChrA_C_glabrata_CBS138	160001	165000	0.0	4974	0	223830	721230
YST6R	ChrA_C_glabrata_CBS138	160001	165000	0.0	4974	0	223830	721230
YST6V	ChrA_C_glabrata_CBS138	165001	170000	0.0	4998	0	224910	724710
YST6R	ChrA_C_glabrata_CBS138	165001	170000	0.0	4998	0	224910	724710
YST6V	ChrA_C_glabrata_CBS138	170001	175000	0.0	4991	0	224595	723695
