pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
YST6V	ChrA_C_glabrata_CBS138	1	10000	0.0047124047124047115	7225	204	43290	28920
YST6R	ChrA_C_glabrata_CBS138	1	10000	0.0034225983997039915	7225	148	43242	28936
YST6V	ChrA_C_glabrata_CBS138	10001	20000	0.0	7179	0	43074	28716
YST6R	ChrA_C_glabrata_CBS138	10001	20000	0.0	7179	0	43074	28716
YST6R	ChrA_C_glabrata_CBS138	20001	30000	0.0	9994	0	59964	39976
YST6V	ChrA_C_glabrata_CBS138	20001	30000	0.0	9994	0	59964	39976
YST6R	ChrA_C_glabrata_CBS138	30001	40000	0.0	9997	0	59982	39988
YST6V	ChrA_C_glabrata_CBS138	30001	40000	0.0	9997	0	59982	39988
YST6R	ChrA_C_glabrata_CBS138	40001	50000	0.0	9940	0	59640	39760
YST6V	ChrA_C_glabrata_CBS138	40001	50000	0.0	9940	0	59640	39760
YST6V	ChrA_C_glabrata_CBS138	50001	60000	0.0	9954	0	59724	39816
YST6R	ChrA_C_glabrata_CBS138	50001	60000	0.0	9954	0	59724	39816
YST6R	ChrA_C_glabrata_CBS138	60001	70000	0.0	9987	0	59922	39948
YST6V	ChrA_C_glabrata_CBS138	60001	70000	0.0	9987	0	59922	39948
YST6R	ChrA_C_glabrata_CBS138	70001	80000	0.0	9971	0	59817	39887
YST6V	ChrA_C_glabrata_CBS138	70001	80000	0.0	9971	0	59820	39886
YST6R	ChrA_C_glabrata_CBS138	80001	90000	0.0	10000	0	60000	40000
YST6V	ChrA_C_glabrata_CBS138	80001	90000	0.0	10000	0	60000	40000
YST6V	ChrA_C_glabrata_CBS138	90001	100000	0.0	9998	0	59988	39992
YST6R	ChrA_C_glabrata_CBS138	90001	100000	0.0	9998	0	59988	39992
YST6R	ChrA_C_glabrata_CBS138	100001	110000	0.0	9983	0	59898	39932
YST6V	ChrA_C_glabrata_CBS138	100001	110000	0.0	9983	0	59895	39933
YST6R	ChrA_C_glabrata_CBS138	110001	120000	0.0	9997	0	59982	39988
YST6V	ChrA_C_glabrata_CBS138	110001	120000	0.0	9997	0	59982	39988
YST6R	ChrA_C_glabrata_CBS138	120001	130000	0.0	9830	0	58980	39320
YST6V	ChrA_C_glabrata_CBS138	120001	130000	0.0	9830	0	58980	39320
YST6R	ChrA_C_glabrata_CBS138	130001	140000	0.00041907156599424727	8753	22	52497	35019
YST6V	ChrA_C_glabrata_CBS138	130001	140000	0.00030518043793392844	8753	16	52428	35042
YST6R	ChrA_C_glabrata_CBS138	140001	150000	0.00012296341838303104	8133	6	48795	32533
YST6V	ChrA_C_glabrata_CBS138	140001	150000	0.00032788229025779744	8133	16	48798	32532
YST6V	ChrA_C_glabrata_CBS138	150001	160000	0.0	9947	0	59658	39796
YST6R	ChrA_C_glabrata_CBS138	150001	160000	0.0	9947	0	59682	39788
YST6V	ChrA_C_glabrata_CBS138	160001	170000	0.0	9866	0	59196	39464
YST6R	ChrA_C_glabrata_CBS138	160001	170000	0.0	9866	0	59196	39464
YST6R	ChrA_C_glabrata_CBS138	170001	180000	0.0	9986	0	59913	39945
YST6V	ChrA_C_glabrata_CBS138	170001	180000	0.0	9986	0	59916	39944
YST6R	ChrA_C_glabrata_CBS138	180001	190000	0.0	9964	0	59784	39856
YST6V	ChrA_C_glabrata_CBS138	180001	190000	0.0	9964	0	59784	39856
YST6R	ChrA_C_glabrata_CBS138	190001	200000	0.0	9995	0	59970	39980
YST6V	ChrA_C_glabrata_CBS138	190001	200000	0.0	9995	0	59970	39980
YST6R	ChrA_C_glabrata_CBS138	200001	210000	0.0	9998	0	59988	39992
YST6V	ChrA_C_glabrata_CBS138	200001	210000	0.0	9998	0	59988	39992
YST6V	ChrA_C_glabrata_CBS138	210001	220000	0.0	9990	0	59940	39960
YST6R	ChrA_C_glabrata_CBS138	210001	220000	0.0	9990	0	59940	39960
YST6V	ChrA_C_glabrata_CBS138	220001	230000	5.102561485865905e-05	9799	3	58794	39196
YST6R	ChrA_C_glabrata_CBS138	220001	230000	6.803415314487873e-05	9799	4	58794	39196
YST6V	ChrA_C_glabrata_CBS138	230001	240000	0.0	8725	0	52347	34901
YST6R	ChrA_C_glabrata_CBS138	230001	240000	0.0	8725	0	52350	34900
YST6V	ChrA_C_glabrata_CBS138	240001	250000	NA	0	NA	NA	NA
YST6R	ChrA_C_glabrata_CBS138	240001	250000	NA	0	NA	NA	NA
YST6R	ChrA_C_glabrata_CBS138	250001	260000	0.0	9321	0	55917	37287
YST6V	ChrA_C_glabrata_CBS138	250001	260000	5.3642313056539004e-05	9321	3	55926	37284
YST6V	ChrA_C_glabrata_CBS138	260001	270000	0.0	9952	0	59712	39808
YST6R	ChrA_C_glabrata_CBS138	260001	270000	0.0	9952	0	59712	39808
YST6V	ChrA_C_glabrata_CBS138	270001	280000	0.0	9778	0	58665	39113
YST6R	ChrA_C_glabrata_CBS138	270001	280000	0.0001875053268558766	9778	11	58665	39113
YST6V	ChrA_C_glabrata_CBS138	280001	290000	0.0	9970	0	59820	39880
YST6R	ChrA_C_glabrata_CBS138	280001	290000	0.0	9970	0	59820	39880
YST6V	ChrA_C_glabrata_CBS138	290001	300000	0.0	9938	0	59628	39752
YST6R	ChrA_C_glabrata_CBS138	290001	300000	0.0	9938	0	59628	39752
YST6R	ChrA_C_glabrata_CBS138	300001	310000	0.0	9993	0	59958	39972
YST6V	ChrA_C_glabrata_CBS138	300001	310000	0.0	9993	0	59958	39972
YST6R	ChrA_C_glabrata_CBS138	310001	320000	0.0	9957	0	59742	39828
YST6V	ChrA_C_glabrata_CBS138	310001	320000	0.0	9957	0	59742	39828
YST6R	ChrA_C_glabrata_CBS138	320001	330000	0.0	9940	0	59640	39760
YST6V	ChrA_C_glabrata_CBS138	320001	330000	0.0	9940	0	59640	39760
YST6R	ChrA_C_glabrata_CBS138	330001	340000	0.0	9988	0	59928	39952
YST6V	ChrA_C_glabrata_CBS138	330001	340000	0.0	9988	0	59928	39952
YST6R	ChrA_C_glabrata_CBS138	340001	350000	0.0	9932	0	59592	39728
YST6V	ChrA_C_glabrata_CBS138	340001	350000	0.0	9932	0	59592	39728
YST6R	ChrA_C_glabrata_CBS138	350001	360000	0.0	9996	0	59976	39984
YST6V	ChrA_C_glabrata_CBS138	350001	360000	0.0	9996	0	59976	39984
YST6R	ChrA_C_glabrata_CBS138	360001	370000	0.0	9992	0	59952	39968
YST6V	ChrA_C_glabrata_CBS138	360001	370000	0.0	9992	0	59952	39968
YST6R	ChrA_C_glabrata_CBS138	370001	380000	0.0	9998	0	59988	39992
YST6V	ChrA_C_glabrata_CBS138	370001	380000	0.0	9998	0	59988	39992
YST6V	ChrA_C_glabrata_CBS138	380001	390000	0.0	9955	0	59730	39820
YST6R	ChrA_C_glabrata_CBS138	380001	390000	0.0	9955	0	59730	39820
YST6V	ChrA_C_glabrata_CBS138	390001	400000	0.0	9884	0	59304	39536
YST6R	ChrA_C_glabrata_CBS138	390001	400000	0.0	9884	0	59304	39536
YST6R	ChrA_C_glabrata_CBS138	400001	410000	0.0	9980	0	59880	39920
YST6V	ChrA_C_glabrata_CBS138	400001	410000	0.0	9980	0	59880	39920
YST6R	ChrA_C_glabrata_CBS138	410001	420000	0.0	9982	0	59892	39928
YST6V	ChrA_C_glabrata_CBS138	410001	420000	0.0	9982	0	59892	39928
YST6R	ChrA_C_glabrata_CBS138	420001	430000	0.0	9978	0	59868	39912
YST6V	ChrA_C_glabrata_CBS138	420001	430000	0.0	9978	0	59868	39912
YST6R	ChrA_C_glabrata_CBS138	430001	440000	0.0	9993	0	59958	39972
YST6V	ChrA_C_glabrata_CBS138	430001	440000	0.0	9993	0	59958	39972
YST6V	ChrA_C_glabrata_CBS138	440001	450000	0.0	9938	0	59628	39752
YST6R	ChrA_C_glabrata_CBS138	440001	450000	0.0	9938	0	59628	39752
YST6R	ChrA_C_glabrata_CBS138	450001	460000	0.0	9958	0	59748	39832
YST6V	ChrA_C_glabrata_CBS138	450001	460000	0.0	9958	0	59748	39832
YST6R	ChrA_C_glabrata_CBS138	460001	470000	0.0	9995	0	59970	39980
YST6V	ChrA_C_glabrata_CBS138	460001	470000	0.0	9995	0	59970	39980
YST6R	ChrA_C_glabrata_CBS138	470001	480000	0.0	9993	0	59958	39972
YST6V	ChrA_C_glabrata_CBS138	470001	480000	0.0	9993	0	59955	39973
YST6V	ChrA_C_glabrata_CBS138	480001	490000	0.0001560549313358302	4272	4	25632	17088
YST6R	ChrA_C_glabrata_CBS138	480001	490000	0.00023408239700374527	4272	6	25632	17088
YST6R	ChrB_C_glabrata_CBS138	1	10000	0.0013684697179842812	9014	74	54075	36059
YST6V	ChrB_C_glabrata_CBS138	1	10000	0.0011098779134295226	9014	60	54060	36064
YST6R	ChrB_C_glabrata_CBS138	10001	20000	0.0	8372	0	50232	33488
YST6V	ChrB_C_glabrata_CBS138	10001	20000	0.0	8372	0	50232	33488
YST6R	ChrB_C_glabrata_CBS138	20001	30000	0.0	9996	0	59976	39984
YST6V	ChrB_C_glabrata_CBS138	20001	30000	0.0	9996	0	59976	39984
YST6R	ChrB_C_glabrata_CBS138	30001	40000	0.0	9988	0	59928	39952
YST6V	ChrB_C_glabrata_CBS138	30001	40000	0.0	9988	0	59928	39952
YST6R	ChrB_C_glabrata_CBS138	40001	50000	0.0	9984	0	59904	39936
YST6V	ChrB_C_glabrata_CBS138	40001	50000	0.0	9984	0	59904	39936
YST6R	ChrB_C_glabrata_CBS138	50001	60000	0.0	9946	0	59676	39784
YST6V	ChrB_C_glabrata_CBS138	50001	60000	0.0	9946	0	59676	39784
YST6R	ChrB_C_glabrata_CBS138	60001	70000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	60001	70000	0.0	9994	0	59964	39976
YST6R	ChrB_C_glabrata_CBS138	70001	80000	0.0	9941	0	59646	39764
YST6V	ChrB_C_glabrata_CBS138	70001	80000	0.0	9941	0	59646	39764
YST6R	ChrB_C_glabrata_CBS138	80001	90000	0.0	9979	0	59874	39916
YST6V	ChrB_C_glabrata_CBS138	80001	90000	0.0	9979	0	59874	39916
YST6R	ChrB_C_glabrata_CBS138	90001	100000	0.0	9932	0	59592	39728
YST6V	ChrB_C_glabrata_CBS138	90001	100000	0.0	9932	0	59592	39728
YST6R	ChrB_C_glabrata_CBS138	100001	110000	0.0	9930	0	59580	39720
YST6V	ChrB_C_glabrata_CBS138	100001	110000	0.0	9930	0	59580	39720
YST6R	ChrB_C_glabrata_CBS138	110001	120000	0.0	7951	0	47706	31804
YST6V	ChrB_C_glabrata_CBS138	110001	120000	0.0	7951	0	47706	31804
YST6V	ChrB_C_glabrata_CBS138	120001	130000	0.0	9990	0	59940	39960
YST6R	ChrB_C_glabrata_CBS138	120001	130000	0.0	9990	0	59940	39960
YST6R	ChrB_C_glabrata_CBS138	130001	140000	0.0	9997	0	59982	39988
YST6V	ChrB_C_glabrata_CBS138	130001	140000	0.0	9997	0	59982	39988
YST6R	ChrB_C_glabrata_CBS138	140001	150000	0.0	9979	0	59874	39916
YST6V	ChrB_C_glabrata_CBS138	140001	150000	0.0	9979	0	59874	39916
YST6R	ChrB_C_glabrata_CBS138	150001	160000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	150001	160000	0.0	9994	0	59964	39976
YST6R	ChrB_C_glabrata_CBS138	160001	170000	0.0	9990	0	59940	39960
YST6V	ChrB_C_glabrata_CBS138	160001	170000	0.0	9990	0	59940	39960
YST6R	ChrB_C_glabrata_CBS138	170001	180000	0.0	9999	0	59994	39996
YST6V	ChrB_C_glabrata_CBS138	170001	180000	0.0	9999	0	59994	39996
YST6R	ChrB_C_glabrata_CBS138	180001	190000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	180001	190000	0.0	9994	0	59964	39976
YST6R	ChrB_C_glabrata_CBS138	190001	200000	0.0	9954	0	59724	39816
YST6V	ChrB_C_glabrata_CBS138	190001	200000	0.0	9954	0	59724	39816
YST6R	ChrB_C_glabrata_CBS138	200001	210000	0.0	9995	0	59970	39980
YST6V	ChrB_C_glabrata_CBS138	200001	210000	0.0	9995	0	59970	39980
YST6V	ChrB_C_glabrata_CBS138	210001	220000	0.0	9999	0	59994	39996
YST6R	ChrB_C_glabrata_CBS138	210001	220000	0.0	9999	0	59994	39996
YST6V	ChrB_C_glabrata_CBS138	220001	230000	0.0	9992	0	59952	39968
YST6R	ChrB_C_glabrata_CBS138	220001	230000	0.0	9992	0	59952	39968
YST6V	ChrB_C_glabrata_CBS138	230001	240000	0.0	9947	0	59682	39788
YST6R	ChrB_C_glabrata_CBS138	230001	240000	0.0	9947	0	59682	39788
YST6V	ChrB_C_glabrata_CBS138	240001	250000	0.0	9983	0	59898	39932
YST6R	ChrB_C_glabrata_CBS138	240001	250000	0.0	9983	0	59898	39932
YST6V	ChrB_C_glabrata_CBS138	250001	260000	0.0	9996	0	59976	39984
YST6R	ChrB_C_glabrata_CBS138	250001	260000	0.0	9996	0	59976	39984
YST6V	ChrB_C_glabrata_CBS138	260001	270000	0.0	9823	0	58938	39292
YST6R	ChrB_C_glabrata_CBS138	260001	270000	0.0	9823	0	58938	39292
YST6R	ChrB_C_glabrata_CBS138	270001	280000	0.0	9989	0	59934	39956
YST6V	ChrB_C_glabrata_CBS138	270001	280000	0.0	9989	0	59934	39956
YST6R	ChrB_C_glabrata_CBS138	280001	290000	0.0	9975	0	59850	39900
YST6V	ChrB_C_glabrata_CBS138	280001	290000	0.0	9975	0	59850	39900
YST6R	ChrB_C_glabrata_CBS138	290001	300000	0.0	9951	0	59706	39804
YST6V	ChrB_C_glabrata_CBS138	290001	300000	0.0	9951	0	59706	39804
YST6R	ChrB_C_glabrata_CBS138	300001	310000	0.0	9955	0	59730	39820
YST6V	ChrB_C_glabrata_CBS138	300001	310000	0.0	9955	0	59730	39820
YST6R	ChrB_C_glabrata_CBS138	310001	320000	0.0	9998	0	59988	39992
YST6V	ChrB_C_glabrata_CBS138	310001	320000	0.0	9998	0	59988	39992
YST6R	ChrB_C_glabrata_CBS138	320001	330000	0.0	9988	0	59928	39952
YST6V	ChrB_C_glabrata_CBS138	320001	330000	0.0	9988	0	59928	39952
YST6V	ChrB_C_glabrata_CBS138	330001	340000	0.0	10000	0	60000	40000
YST6R	ChrB_C_glabrata_CBS138	330001	340000	0.0	10000	0	60000	40000
YST6R	ChrB_C_glabrata_CBS138	340001	350000	0.0	9985	0	59910	39940
YST6V	ChrB_C_glabrata_CBS138	340001	350000	0.0	9985	0	59910	39940
YST6R	ChrB_C_glabrata_CBS138	350001	360000	0.0	9995	0	59970	39980
YST6V	ChrB_C_glabrata_CBS138	350001	360000	0.0	9995	0	59970	39980
YST6R	ChrB_C_glabrata_CBS138	360001	370000	0.0	9988	0	59928	39952
YST6V	ChrB_C_glabrata_CBS138	360001	370000	0.0	9988	0	59928	39952
YST6R	ChrB_C_glabrata_CBS138	370001	380000	0.0	9977	0	59850	39912
YST6V	ChrB_C_glabrata_CBS138	370001	380000	0.0	9977	0	59862	39908
YST6R	ChrB_C_glabrata_CBS138	380001	390000	0.0	9997	0	59982	39988
YST6V	ChrB_C_glabrata_CBS138	380001	390000	0.0	9997	0	59982	39988
YST6R	ChrB_C_glabrata_CBS138	390001	400000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	390001	400000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	400001	410000	0.0	9974	0	59844	39896
YST6R	ChrB_C_glabrata_CBS138	400001	410000	0.0	9974	0	59844	39896
YST6R	ChrB_C_glabrata_CBS138	410001	420000	0.0	9984	0	59904	39936
YST6V	ChrB_C_glabrata_CBS138	410001	420000	0.0	9984	0	59904	39936
YST6R	ChrB_C_glabrata_CBS138	420001	430000	0.0	9993	0	59958	39972
YST6V	ChrB_C_glabrata_CBS138	420001	430000	0.0	9993	0	59958	39972
YST6R	ChrB_C_glabrata_CBS138	430001	440000	0.0	9989	0	59934	39956
YST6V	ChrB_C_glabrata_CBS138	430001	440000	0.0	9989	0	59931	39957
YST6R	ChrB_C_glabrata_CBS138	440001	450000	0.0	9972	0	59832	39888
YST6V	ChrB_C_glabrata_CBS138	440001	450000	0.0	9972	0	59832	39888
YST6R	ChrB_C_glabrata_CBS138	450001	460000	0.0	9996	0	59976	39984
YST6V	ChrB_C_glabrata_CBS138	450001	460000	0.0	9996	0	59976	39984
YST6R	ChrB_C_glabrata_CBS138	460001	470000	0.0	9998	0	59988	39992
YST6V	ChrB_C_glabrata_CBS138	460001	470000	0.0	9998	0	59988	39992
YST6R	ChrB_C_glabrata_CBS138	470001	480000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	470001	480000	0.0	9994	0	59964	39976
YST6V	ChrB_C_glabrata_CBS138	480001	490000	0.0	9977	0	59862	39908
YST6R	ChrB_C_glabrata_CBS138	480001	490000	0.0	9977	0	59850	39912
YST6V	ChrB_C_glabrata_CBS138	490001	500000	0.0	9550	0	57300	38200
YST6R	ChrB_C_glabrata_CBS138	490001	500000	0.0	9550	0	57300	38200
YST6V	ChrB_C_glabrata_CBS138	500001	510000	0.0008429672447013487	1385	7	8304	5542
YST6R	ChrB_C_glabrata_CBS138	500001	510000	0.0007249003262051468	1385	6	8277	5551
YST6R	ChrC_C_glabrata_CBS138	1	10000	0.0008568530759276746	9531	49	57186	38124
YST6V	ChrC_C_glabrata_CBS138	1	10000	0.00038477009986533046	9531	22	57177	38127
YST6R	ChrC_C_glabrata_CBS138	10001	20000	0.000700096263236195	5734	24	34281	22977
YST6V	ChrC_C_glabrata_CBS138	10001	20000	0.00032026086703351096	5734	11	34347	22955
YST6R	ChrC_C_glabrata_CBS138	20001	30000	0.0	7680	0	46017	30741
YST6V	ChrC_C_glabrata_CBS138	20001	30000	0.0	7680	0	46080	30720
YST6R	ChrC_C_glabrata_CBS138	30001	40000	0.0	9945	0	59670	39780
YST6V	ChrC_C_glabrata_CBS138	30001	40000	0.0	9945	0	59670	39780
YST6R	ChrC_C_glabrata_CBS138	40001	50000	0.0	9995	0	59970	39980
YST6V	ChrC_C_glabrata_CBS138	40001	50000	0.0	9995	0	59970	39980
YST6R	ChrC_C_glabrata_CBS138	50001	60000	0.0	9989	0	59934	39956
YST6V	ChrC_C_glabrata_CBS138	50001	60000	0.0	9989	0	59934	39956
YST6V	ChrC_C_glabrata_CBS138	60001	70000	0.0	9959	0	59754	39836
YST6R	ChrC_C_glabrata_CBS138	60001	70000	0.0	9959	0	59754	39836
YST6R	ChrC_C_glabrata_CBS138	70001	80000	0.0	9980	0	59880	39920
YST6V	ChrC_C_glabrata_CBS138	70001	80000	0.0	9980	0	59880	39920
YST6R	ChrC_C_glabrata_CBS138	80001	90000	0.0004656862745098039	6800	19	40800	27200
YST6V	ChrC_C_glabrata_CBS138	80001	90000	0.0008824827180467715	6800	36	40794	27202
YST6R	ChrC_C_glabrata_CBS138	90001	100000	0.00042802830022408534	6627	17	39717	26523
YST6V	ChrC_C_glabrata_CBS138	90001	100000	0.00035286704473850027	6627	14	39675	26537
YST6R	ChrC_C_glabrata_CBS138	100001	110000	0.001507852582931892	8513	77	51066	34056
YST6V	ChrC_C_glabrata_CBS138	100001	110000	0.0009202694235588973	8513	47	51072	34054
YST6R	ChrC_C_glabrata_CBS138	110001	120000	0.0007035393440848577	9240	39	55434	36962
YST6V	ChrC_C_glabrata_CBS138	110001	120000	0.0011190527759728538	9240	62	55404	36972
