pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
TVY4	Ca22chr1A_C_albicans_SC5314	1	5000	NA	0	NA	NA	NA
TVY10	Ca22chr1A_C_albicans_SC5314	1	5000	NA	0	NA	NA	NA
YST7	Ca22chr1A_C_albicans_SC5314	1	5000	NA	0	NA	NA	NA
YST7	Ca22chr1A_C_albicans_SC5314	5001	10000	NA	0	NA	NA	NA
TVY10	Ca22chr1A_C_albicans_SC5314	5001	10000	NA	0	NA	NA	NA
TVY4	Ca22chr1A_C_albicans_SC5314	5001	10000	NA	0	NA	NA	NA
YST7	Ca22chr1A_C_albicans_SC5314	10001	15000	NA	0	NA	NA	NA
TVY10	Ca22chr1A_C_albicans_SC5314	10001	15000	NA	0	NA	NA	NA
TVY4	Ca22chr1A_C_albicans_SC5314	10001	15000	NA	0	NA	NA	NA
TVY4	Ca22chr1A_C_albicans_SC5314	15001	20000	0.000253084274014	4969	83	327954	0
YST7	Ca22chr1A_C_albicans_SC5314	15001	20000	0.0	4969	0	327954	0
TVY10	Ca22chr1A_C_albicans_SC5314	15001	20000	0.000122116896399	4969	40	327555	399
TVY10	Ca22chr1A_C_albicans_SC5314	20001	25000	0.0001829357529635	4972	60	327984	168
TVY4	Ca22chr1A_C_albicans_SC5314	20001	25000	0.0003291157756161	4972	108	328152	0
YST7	Ca22chr1A_C_albicans_SC5314	20001	25000	0.0	4972	0	328152	0
YST7	Ca22chr1A_C_albicans_SC5314	25001	30000	0.0	4873	0	321618	0
TVY4	Ca22chr1A_C_albicans_SC5314	25001	30000	0.0001119340335428	4873	36	321618	0
TVY10	Ca22chr1A_C_albicans_SC5314	25001	30000	0.0	4873	0	321534	84
TVY10	Ca22chr1A_C_albicans_SC5314	30001	35000	0.0001219170232739	4973	40	328092	126
YST7	Ca22chr1A_C_albicans_SC5314	30001	35000	0.0	4973	0	328197	21
TVY4	Ca22chr1A_C_albicans_SC5314	30001	35000	0.0003290917068889	4973	108	328176	42
TVY4	Ca22chr1A_C_albicans_SC5314	35001	40000	0.0015687636314898	4974	515	328284	0
YST7	Ca22chr1A_C_albicans_SC5314	35001	40000	3.3507572711432785e-05	4974	11	328284	0
TVY10	Ca22chr1A_C_albicans_SC5314	35001	40000	0.000886427605366	4974	291	328284	0
TVY10	Ca22chr1A_C_albicans_SC5314	40001	45000	0.0018828767640178	4117	499	265020	24654
YST7	Ca22chr1A_C_albicans_SC5314	40001	45000	0.0016257703504858	4072	430	264490	25184
TVY4	Ca22chr1A_C_albicans_SC5314	40001	45000	0.0015088918196779	4084	397	263107	26567
TVY4	Ca22chr1A_C_albicans_SC5314	45001	50000	0.0004565837749694	4691	140	306625	2981
TVY10	Ca22chr1A_C_albicans_SC5314	45001	50000	0.0003125040690633	4689	96	307196	2410
YST7	Ca22chr1A_C_albicans_SC5314	45001	50000	0.0001036692432793	4691	32	308674	932
YST7	Ca22chr1A_C_albicans_SC5314	50001	55000	0.0	4988	0	329208	0
TVY4	Ca22chr1A_C_albicans_SC5314	50001	55000	0.000109353357148	4988	36	329208	0
TVY10	Ca22chr1A_C_albicans_SC5314	50001	55000	0.0	4988	0	329187	21
YST7	Ca22chr1A_C_albicans_SC5314	55001	60000	0.0	4981	0	328746	0
TVY10	Ca22chr1A_C_albicans_SC5314	55001	60000	6.083724212613994e-05	4981	20	328746	0
TVY4	Ca22chr1A_C_albicans_SC5314	55001	60000	0.000109507035827	4981	36	328746	0
TVY4	Ca22chr1A_C_albicans_SC5314	60001	65000	0.00065717415115	4980	216	328680	0
TVY10	Ca22chr1A_C_albicans_SC5314	60001	65000	0.000365349075819	4980	120	328453	227
YST7	Ca22chr1A_C_albicans_SC5314	60001	65000	0.0	4980	0	328659	21
TVY4	Ca22chr1A_C_albicans_SC5314	65001	70000	0.0002189701105799	4982	72	328812	0
TVY10	Ca22chr1A_C_albicans_SC5314	65001	70000	0.0001216500614332	4982	40	328812	0
YST7	Ca22chr1A_C_albicans_SC5314	65001	70000	0.0	4982	0	328732	80
YST7	Ca22chr1A_C_albicans_SC5314	70001	75000	0.0	4969	0	327933	21
TVY4	Ca22chr1A_C_albicans_SC5314	70001	75000	0.0001097785218322	4969	36	327933	21
TVY10	Ca22chr1A_C_albicans_SC5314	70001	75000	0.000182952487239	4969	60	327954	0
TVY4	Ca22chr1A_C_albicans_SC5314	75001	80000	0.0003199736707379	4972	105	328152	0
YST7	Ca22chr1A_C_albicans_SC5314	75001	80000	3.3523196528215865e-05	4972	11	328131	21
TVY10	Ca22chr1A_C_albicans_SC5314	75001	80000	0.0001219181380661	4972	40	328089	63
YST7	Ca22chr1A_C_albicans_SC5314	80001	85000	0.0	4981	0	328725	351
TVY10	Ca22chr1A_C_albicans_SC5314	80001	85000	0.0	4981	0	327404	1672
TVY4	Ca22chr1A_C_albicans_SC5314	80001	85000	3.366560262958962e-05	4981	11	326743	2333
TVY4	Ca22chr1A_C_albicans_SC5314	85001	90000	0.0005467667857403	4988	180	329208	0
TVY10	Ca22chr1A_C_albicans_SC5314	85001	90000	0.0004252630555758	4988	140	329208	0
YST7	Ca22chr1A_C_albicans_SC5314	85001	90000	0.0	4988	0	329208	0
TVY4	Ca22chr1A_C_albicans_SC5314	90001	95000	0.000110126094378	4953	36	326898	0
TVY10	Ca22chr1A_C_albicans_SC5314	90001	95000	6.118902513645153e-05	4953	20	326856	42
YST7	Ca22chr1A_C_albicans_SC5314	90001	95000	0.0	4953	0	326898	0
TVY10	Ca22chr1A_C_albicans_SC5314	95001	100000	0.0007928884009575	4970	260	327915	105
YST7	Ca22chr1A_C_albicans_SC5314	95001	100000	0.0	4970	0	328020	0
TVY4	Ca22chr1A_C_albicans_SC5314	95001	100000	0.0027437351381013	4970	900	328020	0
YST7	Ca22chr1A_C_albicans_SC5314	100001	105000	0.0	4980	0	328680	0
TVY4	Ca22chr1A_C_albicans_SC5314	100001	105000	0.0002190580503833	4980	72	328680	0
TVY10	Ca22chr1A_C_albicans_SC5314	100001	105000	0.0001216989168796	4980	40	328680	0
TVY10	Ca22chr1A_C_albicans_SC5314	105001	110000	0.0001819256833583	4998	60	329805	63
TVY4	Ca22chr1A_C_albicans_SC5314	105001	110000	0.0003274036887482	4998	108	329868	0
YST7	Ca22chr1A_C_albicans_SC5314	105001	110000	0.0	4998	0	329826	42
YST7	Ca22chr1A_C_albicans_SC5314	110001	115000	0.000109749405524	4970	36	328020	0
TVY4	Ca22chr1A_C_albicans_SC5314	110001	115000	0.0003292482165721	4970	108	328020	0
TVY10	Ca22chr1A_C_albicans_SC5314	110001	115000	0.0001829156758734	4970	60	328020	0
TVY10	Ca22chr1A_C_albicans_SC5314	115001	120000	0.0013445008387851	4964	440	327259	365
TVY4	Ca22chr1A_C_albicans_SC5314	115001	120000	0.0024207080571067	4964	792	327177	447
YST7	Ca22chr1A_C_albicans_SC5314	115001	120000	0.0	4964	0	327201	423
YST7	Ca22chr1A_C_albicans_SC5314	120001	125000	3.34739238133494e-05	4979	11	328614	0
TVY4	Ca22chr1A_C_albicans_SC5314	120001	125000	0.0002191020467782	4979	72	328614	0
TVY10	Ca22chr1A_C_albicans_SC5314	120001	125000	0.0001217233593212	4979	40	328614	0
TVY4	Ca22chr1A_C_albicans_SC5314	125001	130000	0.000111269773566	4907	36	323538	654
TVY10	Ca22chr1A_C_albicans_SC5314	125001	130000	0.0004935666669751	4912	160	324171	21
YST7	Ca22chr1A_C_albicans_SC5314	125001	130000	0.0	4912	0	324192	0
YST7	Ca22chr1A_C_albicans_SC5314	130001	135000	0.0	4765	0	314490	0
TVY4	Ca22chr1A_C_albicans_SC5314	130001	135000	0.0009157683869121	4765	288	314490	0
TVY10	Ca22chr1A_C_albicans_SC5314	130001	135000	0.0013354955642468	4765	420	314490	0
TVY10	Ca22chr1A_C_albicans_SC5314	135001	140000	0.001493298013589	4670	460	308043	177
TVY4	Ca22chr1A_C_albicans_SC5314	135001	140000	0.0026869071686553	4670	828	308161	59
YST7	Ca22chr1A_C_albicans_SC5314	135001	140000	0.0	4670	0	307958	262
TVY4	Ca22chr1A_C_albicans_SC5314	140001	145000	0.0018946745172856	4615	576	304010	646
TVY10	Ca22chr1A_C_albicans_SC5314	140001	145000	0.0016437941007886	4615	499	303566	1090
YST7	Ca22chr1A_C_albicans_SC5314	140001	145000	3.634525347510185e-05	4614	11	302653	2003
YST7	Ca22chr1A_C_albicans_SC5314	145001	150000	0.0002041496825472	4478	60	293902	2042
TVY10	Ca22chr1A_C_albicans_SC5314	145001	150000	0.0023924517114303	4478	694	290079	5865
TVY4	Ca22chr1A_C_albicans_SC5314	145001	150000	0.0041846821642335	4479	1234	294885	1059
TVY10	Ca22chr1A_C_albicans_SC5314	150001	155000	0.0012067093037287	4558	360	298332	2694
YST7	Ca22chr1A_C_albicans_SC5314	150001	155000	0.0001200916699747	4553	36	299771	1255
TVY4	Ca22chr1A_C_albicans_SC5314	150001	155000	0.0038570481528355	4552	1152	298674	2352
TVY4	Ca22chr1A_C_albicans_SC5314	155001	160000	0.0041528212690843	4747	1301	313281	1011
YST7	Ca22chr1A_C_albicans_SC5314	155001	160000	0.004302557915366	4747	1348	313302	990
TVY10	Ca22chr1A_C_albicans_SC5314	155001	160000	0.0026465076633795	4747	829	313243	1049
TVY4	Ca22chr1A_C_albicans_SC5314	160001	165000	0.0012414649286157	4833	396	318978	0
TVY10	Ca22chr1A_C_albicans_SC5314	160001	165000	0.0010659744103437	4833	340	318957	21
YST7	Ca22chr1A_C_albicans_SC5314	160001	165000	0.0019533699551007	4833	623	318936	42
TVY4	Ca22chr1A_C_albicans_SC5314	165001	170000	0.0047162069680951	4897	1523	322929	273
YST7	Ca22chr1A_C_albicans_SC5314	165001	170000	0.0035179237752241	4897	1137	323202	0
TVY10	Ca22chr1A_C_albicans_SC5314	165001	170000	0.0026014970996404	4897	840	322891	311
TVY10	Ca22chr1A_C_albicans_SC5314	170001	175000	0.0030071773344748	4938	980	325887	21
TVY4	Ca22chr1A_C_albicans_SC5314	170001	175000	0.0059652578961419	4938	1944	325887	21
YST7	Ca22chr1A_C_albicans_SC5314	170001	175000	0.0028721612092535	4938	936	325887	21
YST7	Ca22chr1A_C_albicans_SC5314	175001	180000	0.0045106164509149	4958	1476	327228	0
TVY4	Ca22chr1A_C_albicans_SC5314	175001	180000	0.0044006014155267	4958	1440	327228	0
TVY10	Ca22chr1A_C_albicans_SC5314	175001	180000	0.002200441922086	4958	720	327207	21
TVY10	Ca22chr1A_C_albicans_SC5314	180001	185000	0.0	4964	0	327624	0
TVY4	Ca22chr1A_C_albicans_SC5314	180001	185000	0.0	4964	0	327624	0
YST7	Ca22chr1A_C_albicans_SC5314	180001	185000	0.0	4964	0	327624	0
TVY4	Ca22chr1A_C_albicans_SC5314	185001	190000	0.0010968319836206	4973	360	328218	0
YST7	Ca22chr1A_C_albicans_SC5314	185001	190000	0.0003290495950861	4973	108	328218	0
TVY10	Ca22chr1A_C_albicans_SC5314	185001	190000	0.0007921564326149	4973	260	328218	0
YST7	Ca22chr1A_C_albicans_SC5314	190001	195000	0.0001104901157383	4937	36	325821	21
TVY10	Ca22chr1A_C_albicans_SC5314	190001	195000	0.0001227826225754	4937	40	325779	63
TVY4	Ca22chr1A_C_albicans_SC5314	190001	195000	0.0001104829948257	4937	36	325842	0
TVY4	Ca22chr1A_C_albicans_SC5314	195001	200000	0.0	4966	0	327756	0
TVY10	Ca22chr1A_C_albicans_SC5314	195001	200000	0.0	4966	0	327756	0
YST7	Ca22chr1A_C_albicans_SC5314	195001	200000	0.0	4966	0	327756	0
YST7	Ca22chr1A_C_albicans_SC5314	200001	205000	0.0006580991901723	4973	216	328218	0
TVY4	Ca22chr1A_C_albicans_SC5314	200001	205000	0.0006580991901723	4973	216	328218	0
